osm_id,element_type,category,description,name,name_en,name_ur,language,location,osm_tag_key,osm_tag_value,source,coordinates,latitude,longitude,all_tags,collected_at
99021896,node,amenities,Liberty Market,Liberty Market,,,English,Lahore,amenity,marketplace,OSM,"[Decimal('74.3450076'), Decimal('31.5112797')]",31.5112797,74.3450076,"{'addr:city': 'Lahore', 'addr:street': 'Noor Jahan Road', 'amenity': 'marketplace', 'is_in': 'Lahore', 'name': 'Liberty Market'}",2025-07-29T09:11:12.473001
111620947,node,amenities,PIA Planetarium,PIA Planetarium,,,English,Lahore,amenity,yes,OSM,"[Decimal('74.3058724'), Decimal('31.5580278')]",31.5580278,74.3058724,"{'amenity': 'yes', 'name': 'PIA Planetarium'}",2025-07-29T09:11:12.473001
270891484,node,amenities,Sec. W Ph 3,Sec. W Ph 3,,,English,Lahore,amenity,place_of_worship,OSM,"[Decimal('74.3765557'), Decimal('31.4774914')]",31.4774914,74.3765557,"{'amenity': 'place_of_worship', 'name': 'Sec. W Ph 3', 'religion': 'muslim'}",2025-07-29T09:11:12.473001
271065685,node,amenities,Pak Railway Academy,Pak Railway Academy,,,English,Lahore,amenity,school,OSM,"[Decimal('74.3593391'), Decimal('31.4875144')]",31.4875144,74.3593391,"{'amenity': 'school', 'name': 'Pak Railway Academy'}",2025-07-29T09:11:12.473001
271071111,node,amenities,Sec B Masjid Ph 1,Sec B Masjid Ph 1,,,English,Lahore,amenity,place_of_worship,OSM,"[Decimal('74.3822416'), Decimal('31.4837381')]",31.4837381,74.3822416,"{'amenity': 'place_of_worship', 'name': 'Sec B Masjid Ph 1', 'religion': 'muslim'}",2025-07-29T09:11:12.473001
271075820,node,amenities,DHA Police Station,DHA Police Station,,,English,Lahore,amenity,police,OSM,"[Decimal('74.3940519'), Decimal('31.4740904')]",31.4740904,74.3940519,"{'amenity': 'police', 'name': 'DHA Police Station'}",2025-07-29T09:11:12.473001
271076218,node,amenities,Sec K Masjid Ph 1,Sec K Masjid Ph 1,,,English,Lahore,amenity,place_of_worship,OSM,"[Decimal('74.3927301'), Decimal('31.4763157')]",31.4763157,74.3927301,"{'amenity': 'place_of_worship', 'name': 'Sec K Masjid Ph 1', 'religion': 'muslim'}",2025-07-29T09:11:12.473001
271096995,node,amenities,DPS Girls,DPS Girls,,,English,Lahore,amenity,school,OSM,"[Decimal('74.4007125'), Decimal('31.4739484')]",31.4739484,74.4007125,"{'amenity': 'school', 'name': 'DPS Girls'}",2025-07-29T09:11:12.473001
271097018,node,amenities,Sec T Ph 2 Masjid,Sec T Ph 2 Masjid,,,English,Lahore,amenity,place_of_worship,OSM,"[Decimal('74.4026695'), Decimal('31.4737508')]",31.4737508,74.4026695,"{'amenity': 'place_of_worship', 'name': 'Sec T Ph 2 Masjid', 'religion': 'muslim'}",2025-07-29T09:11:12.474000
271105745,node,amenities,DHA Medical Center Phase III,DHA Medical Center Phase III,,,English,Lahore,amenity,hospital,OSM,"[Decimal('74.3714984'), Decimal('31.4767342')]",31.4767342,74.3714984,"{'addr:city': 'Lahore', 'addr:street': 'St 29 Sec W Ph 3', 'amenity': 'hospital', 'emergency': 'yes', 'healthcare': 'hospital', 'name': 'DHA Medical Center Phase III'}",2025-07-29T09:11:12.474000
271107138,node,amenities,DPS Sec Z Ph 3,DPS Sec Z Ph 3,,,English,Lahore,amenity,school,OSM,"[Decimal('74.3835941'), Decimal('31.4711759')]",31.4711759,74.3835941,"{'amenity': 'school', 'created_by': 'Potlatch 0.9c', 'is_in': 'Lahore DHA, Lahore, Punjab, Pakistan', 'name': 'DPS Sec Z Ph 3'}",2025-07-29T09:11:12.474000
271107152,node,amenities,Sec Z Ph 3 Masjid,Sec Z Ph 3 Masjid,,,English,Lahore,amenity,place_of_worship,OSM,"[Decimal('74.3849712'), Decimal('31.4712106')]",31.4712106,74.3849712,"{'amenity': 'place_of_worship', 'name': 'Sec Z Ph 3 Masjid', 'religion': 'muslim'}",2025-07-29T09:11:12.474000
