osm_id,element_type,category,description,name,name_en,name_ur,language,location,osm_tag_key,osm_tag_value,source,coordinates,latitude,longitude,all_tags,collected_at
61146664,node,amenities,عسکری بینک (Askari Bank),عسکری بینک,Askari Bank,عسکری بینک,Urdu,Islamabad,amenity,bank,OSM,"[Decimal('73.0112954'), Decimal('33.6980860')]",33.698086,73.0112954,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:en': 'Islamabad', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': 'Street 65', 'amenity': 'bank', 'atm': 'yes', 'brand': 'عسکری بینک', 'brand:ar': 'بنك العسكري', 'brand:en': 'Askari Bank', 'brand:ur': 'عسکری بینک', 'brand:website': 'https://askaribank.com/urdu/?lang=ur', 'brand:wikidata': 'Q4807137', 'brand:wikipedia': 'ur:عسکری بینک', 'brand:wikipedia:ur': 'عسکری بینک', 'name': 'عسکری بینک', 'name:ar': 'بنك العسكري', 'name:en': 'Askari Bank', 'name:ur': 'عسکری بینک'}",2025-07-29T08:08:59.744749
61146673,node,amenities,الائیڈ بینک لمیٹڈ (ABL),الائیڈ بینک لمیٹڈ,ABL,الائیڈ بینک لمیٹڈ,Urdu,Islamabad,amenity,bank,OSM,"[Decimal('73.0105887'), Decimal('33.6976525')]",33.6976525,73.0105887,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:en': 'Islamabad', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': 'Street 65', 'amenity': 'bank', 'atm': 'yes', 'brand': 'الائیڈ بینک لمیٹڈ', 'brand:ar': 'بنك الحلفاء المحدود', 'brand:en': 'Allied Bank Limited', 'brand:ur': 'الائیڈ بینک لمیٹڈ', 'brand:website': 'https://www.abl.com/?lang=ur', 'brand:wikidata': 'Q4732553', 'brand:wikipedia': 'ur:الائیڈ بینک لمیٹڈ', 'brand:wikipedia:ar': 'بنك الحلفاء المحدود', 'brand:wikipedia:ur': 'الائیڈ بینک لمیٹڈ', 'name': 'الائیڈ بینک لمیٹڈ', 'name:ar': 'بنك الحلفاء المحدود', 'name:en': 'ABL', 'name:ur': 'الائیڈ بینک لمیٹڈ'}",2025-07-29T08:08:59.744749
61146691,node,amenities,United Bank Ltd,United Bank Ltd,,,English,Islamabad,amenity,bank,OSM,"[Decimal('73.0118772'), Decimal('33.6960411')]",33.6960411,73.0118772,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:en': 'Islamabad', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': 'Street 54', 'amenity': 'bank', 'atm': 'yes', 'name': 'United Bank Ltd'}",2025-07-29T08:08:59.744749
61146835,node,amenities,"Total Parco , F-10 Markaz","Total Parco , F-10 Markaz",,,English,Islamabad,amenity,fuel,OSM,"[Decimal('73.0112495'), Decimal('33.6988403')]",33.6988403,73.0112495,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:en': 'Islamabad', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': '10th Avenue', 'amenity': 'fuel', 'fuel:cng': 'yes', 'name': 'Total Parco , F-10 Markaz'}",2025-07-29T08:08:59.744749
98166308,node,amenities,Caltex Filling Station,Caltex Filling Station,,,English,Islamabad,amenity,fuel,OSM,"[Decimal('73.0944042'), Decimal('33.5846699')]",33.5846699,73.0944042,"{'amenity': 'fuel', 'fuel:cng': 'yes', 'name': 'Caltex Filling Station'}",2025-07-29T08:08:59.744749
211325636,node,amenities,Daman-e-Koh,Daman-e-Koh,,,English,Islamabad,amenity,restaurant,OSM,"[Decimal('73.0570403'), Decimal('33.7383666')]",33.7383666,73.0570403,"{'addr:street': 'Damn-i-koh Road', 'amenity': 'restaurant', 'cuisine': 'burger;tea;coffee_shop;asian', 'is_in': 'Islamabad', 'name': 'Daman-e-Koh', 'opening_hours': '24/7', 'tourism': 'viewpoint'}",2025-07-29T08:08:59.744749
212538228,node,amenities,اسٹینڈرڈ چارٹرڈ (Standard Chartered),اسٹینڈرڈ چارٹرڈ,Standard Chartered,اسٹینڈرڈ چارٹرڈ,Urdu,Islamabad,amenity,bank,OSM,"[Decimal('72.9868260'), Decimal('33.6837660')]",33.683766,72.986826,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': 'Hilal Road', 'amenity': 'bank', 'atm': 'yes', 'brand': 'اسٹینڈرڈ چارٹرڈ', 'brand:ur': 'اسٹینڈرڈ چارٹرڈ', 'brand:website': 'https://www.sc.com/pk/ur/', 'brand:wikidata': 'Q7598200', 'brand:wikipedia': 'ur:سٹینڈرڈ چارٹرڈ پاکستان', 'brand:wikipedia:ur': 'سٹینڈرڈ چارٹرڈ پاکستان', 'long_name': 'اسٹینڈرڈ چارٹرڈ پاکستان', 'long_name:ur': 'اسٹینڈرڈ چارٹرڈ پاکستان', 'name': 'اسٹینڈرڈ چارٹرڈ', 'name:en': 'Standard Chartered', 'name:ur': 'اسٹینڈرڈ چارٹرڈ', 'operator': 'اسٹینڈرڈ چارٹرڈ', 'operator:ur': 'اسٹینڈرڈ چارٹرڈ', 'operator:website': 'https://www.sc.com/pk/ur/', 'operator:wikidata': 'Q7598200', 'operator:wikipedia': 'ur:سٹینڈرڈ چارٹرڈ پاکستان', 'operator:wikipedia:ur': 'سٹینڈرڈ چارٹرڈ پاکستان', 'short_name': 'ایس سی بی', 'short_name:ur': 'ایس سی بی'}",2025-07-29T08:08:59.744749
225578480,node,amenities,پاکستان اسٹیٹ آئل (Pakistan State Oil),پاکستان اسٹیٹ آئل,Pakistan State Oil,پاکستان اسٹیٹ آئل,Urdu,Islamabad,amenity,fuel,OSM,"[Decimal('73.0389002'), Decimal('33.7100027')]",33.7100027,73.0389002,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': 'F8 markaz', 'amenity': 'fuel', 'brand': 'پاکستان اسٹیٹ آئل', 'brand:ar': 'النفط الحكومية الباكستانية', 'brand:ks': 'پاکستان اسٹیٹ آئل', 'brand:ur': 'پاکستان اسٹیٹ آئل', 'brand:wikidata': 'Q2741455', 'brand:wikipedia': 'ur:پاکستان اسٹیٹ آئل', 'brand:wikipedia:ur': 'پاکستان اسٹیٹ آئل', 'fuel:HSD': 'yes', 'fuel:Hi_octane': 'yes', 'fuel:cng': 'yes', 'fuel:diesel': 'yes', 'fuel:regular': 'yes', 'fuel:super': 'yes', 'name': 'پاکستان اسٹیٹ آئل', 'name:ar': 'النفط الحكومية الباكستانية', 'name:en': 'Pakistan State Oil', 'name:ks': 'پاکستان اسٹیٹ آئل', 'name:pnb': 'پاکستان سٹیٹ آئل', 'name:sd': 'پاڪستان اسٽيٽ آئل', 'name:ur': 'پاکستان اسٹیٹ آئل', 'short_name': 'پی ایس او', 'short_name:ur': 'پی ایس او'}",2025-07-29T08:08:59.744749
232641948,node,amenities,PSO Pump G-9 Markez (Pakistan State Oil) [پاکستان اسٹیٹ آئل],PSO Pump G-9 Markez,Pakistan State Oil,پاکستان اسٹیٹ آئل,Urdu,Islamabad,amenity,fuel,OSM,"[Decimal('73.0337460'), Decimal('33.6893963')]",33.6893963,73.033746,"{'amenity': 'fuel', 'brand': 'پاکستان اسٹیٹ آئل', 'brand:en': 'Pakistan State Oil', 'brand:pa': 'ਪਾਕਸਤਾਨ ਸਟੇਟ ਆਇਲ', 'brand:pnb': 'پاکستان سٹیٹ آئیل', 'brand:ur': 'پاکستان اسٹیٹ آئل', 'brand:wikidata': 'Q2741455', 'fuel:cng': 'yes', 'is_in': 'G-9 Markaz, G-9, Islamabad', 'name': 'PSO Pump G-9 Markez', 'name:en': 'Pakistan State Oil', 'name:pa': 'ਪਾਕਸਤਾਨ ਸਟੇਟ ਆਇਲ', 'name:pnb': 'پاکستان سٹیٹ آئیل', 'name:ur': 'پاکستان اسٹیٹ آئل', 'operator': 'PSO Pump G-9 Markez', 'short_name:en': 'PSO', 'source': 'Yahoo + Local Knowledge'}",2025-07-29T08:08:59.744749
234511823,node,amenities,اسٹینڈرڈ چارٹرڈ (Standard Chartered),اسٹینڈرڈ چارٹرڈ,Standard Chartered,اسٹینڈرڈ چارٹرڈ,Urdu,Islamabad,amenity,bank,OSM,"[Decimal('73.0113365'), Decimal('33.6966838')]",33.6966838,73.0113365,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'اسٹینڈرڈ چارٹرڈ', 'brand:ur': 'اسٹینڈرڈ چارٹرڈ', 'brand:website': 'https://www.sc.com/pk/ur/', 'brand:wikidata': 'Q7598200', 'brand:wikipedia': 'ur:سٹینڈرڈ چارٹرڈ پاکستان', 'brand:wikipedia:ur': 'سٹینڈرڈ چارٹرڈ پاکستان', 'long_name': 'اسٹینڈرڈ چارٹرڈ پاکستان', 'long_name:ur': 'اسٹینڈرڈ چارٹرڈ پاکستان', 'name': 'اسٹینڈرڈ چارٹرڈ', 'name:en': 'Standard Chartered', 'name:ur': 'اسٹینڈرڈ چارٹرڈ', 'operator': 'اسٹینڈرڈ چارٹرڈ', 'operator:ur': 'اسٹینڈرڈ چارٹرڈ', 'operator:website': 'https://www.sc.com/pk/ur/', 'operator:wikidata': 'Q7598200', 'operator:wikipedia': 'ur:سٹینڈرڈ چارٹرڈ پاکستان', 'operator:wikipedia:ur': 'سٹینڈرڈ چارٹرڈ پاکستان', 'short_name': 'ایس سی بی', 'short_name:ur': 'ایس سی بی'}",2025-07-29T08:08:59.744749
237459304,node,amenities,City Bank,City Bank,,,English,Islamabad,amenity,bank,OSM,"[Decimal('72.9887772'), Decimal('33.6849090')]",33.684909,72.9887772,"{'amenity': 'bank', 'atm': 'yes', 'is_in': 'F-11 Markaz, F-11, Islamabad', 'name': 'City Bank'}",2025-07-29T08:08:59.744749
237492791,node,amenities,Saudi Pak Commercial Bank,Saudi Pak Commercial Bank,,,English,Islamabad,amenity,bank,OSM,"[Decimal('72.9868747'), Decimal('33.6838147')]",33.6838147,72.9868747,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:en': 'Islamabad', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': 'Hilal Road', 'amenity': 'bank', 'atm': 'yes', 'name': 'Saudi Pak Commercial Bank'}",2025-07-29T08:08:59.744749
237495339,node,amenities,عسکری بینک (Askari Bank),عسکری بینک,Askari Bank,عسکری بینک,Urdu,Islamabad,amenity,bank,OSM,"[Decimal('72.9860121'), Decimal('33.6843984')]",33.6843984,72.9860121,"{'amenity': 'bank', 'atm': 'yes', 'brand': 'عسکری بینک', 'brand:ar': 'بنك العسكري', 'brand:en': 'Askari Bank', 'brand:ur': 'عسکری بینک', 'brand:website': 'https://askaribank.com/urdu/?lang=ur', 'brand:wikidata': 'Q4807137', 'brand:wikipedia': 'ur:عسکری بینک', 'brand:wikipedia:ur': 'عسکری بینک', 'name': 'عسکری بینک', 'name:ar': 'بنك العسكري', 'name:en': 'Askari Bank', 'name:ur': 'عسکری بینک'}",2025-07-29T08:08:59.744749
240218764,node,amenities,Ali Medical Centre,Ali Medical Centre,Ali Medical Centre,,English,Islamabad,amenity,hospital,OSM,"[Decimal('73.0417644'), Decimal('33.7104738')]",33.7104738,73.0417644,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:en': 'Islamabad', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': 'Kohistan Road', 'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Ali Medical Centre', 'name:en': 'Ali Medical Centre'}",2025-07-29T08:08:59.744749
243495585,node,amenities,Total Station,Total Station,,,English,Islamabad,amenity,fuel,OSM,"[Decimal('73.0402590'), Decimal('33.7132584')]",33.7132584,73.040259,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:en': 'Islamabad', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': 'Kohistan Road', 'amenity': 'fuel', 'brand': 'Caltex', 'fuel:cng': 'yes', 'name': 'Total Station'}",2025-07-29T08:08:59.744749
243531194,node,amenities,Safeway CNG,Safeway CNG,,,English,Islamabad,amenity,fuel,OSM,"[Decimal('73.0619384'), Decimal('33.5991725')]",33.5991725,73.0619384,"{'addr:city': 'راولپنڈی', 'addr:city:en': 'Rawalpindi', 'addr:city:fr': 'Rawalpindi', 'addr:city:pa': 'ਰਾਵਲਪਿੰਡੀ', 'addr:city:pnb': 'راولپنڈی', 'addr:city:ur': 'راولپنڈی', 'addr:street': 'Murree Road', 'amenity': 'fuel', 'fuel:cng': 'yes', 'name': 'Safeway CNG'}",2025-07-29T08:08:59.744749
244186616,node,amenities,Masjid Al Qasim,Masjid Al Qasim,,,English,Islamabad,amenity,place_of_worship,OSM,"[Decimal('73.0057153'), Decimal('33.6804943')]",33.6804943,73.0057153,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:en': 'Islamabad', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': 'Street 14', 'amenity': 'place_of_worship', 'denomination': 'sunni', 'name': 'Masjid Al Qasim', 'religion': 'muslim'}",2025-07-29T08:08:59.744749
244393698,node,amenities,پاکستان اسٹیٹ آئل (Pakistan State Oil),پاکستان اسٹیٹ آئل,Pakistan State Oil,پاکستان اسٹیٹ آئل,Urdu,Islamabad,amenity,fuel,OSM,"[Decimal('73.0501914'), Decimal('33.6985338')]",33.6985338,73.0501914,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': 'Hanna Road', 'amenity': 'fuel', 'brand': 'پاکستان اسٹیٹ آئل', 'brand:ar': 'النفط الحكومية الباكستانية', 'brand:ks': 'پاکستان اسٹیٹ آئل', 'brand:ur': 'پاکستان اسٹیٹ آئل', 'brand:wikidata': 'Q2741455', 'brand:wikipedia': 'ur:پاکستان اسٹیٹ آئل', 'brand:wikipedia:ur': 'پاکستان اسٹیٹ آئل', 'fuel:cng': 'yes', 'name': 'پاکستان اسٹیٹ آئل', 'name:ar': 'النفط الحكومية الباكستانية', 'name:en': 'Pakistan State Oil', 'name:ks': 'پاکستان اسٹیٹ آئل', 'name:pnb': 'پاکستان سٹیٹ آئل', 'name:sd': 'پاڪستان اسٽيٽ آئل', 'name:ur': 'پاکستان اسٹیٹ آئل', 'short_name': 'پی ایس او', 'short_name:ur': 'پی ایس او'}",2025-07-29T08:08:59.744749
245441172,node,amenities,ایف-8 چرچ (F-8 Church),ایف-8 چرچ,F-8 Church,ایف-8 چرچ,Urdu,Islamabad,amenity,place_of_worship,OSM,"[Decimal('73.0452355'), Decimal('33.7110561')]",33.7110561,73.0452355,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': 'اسٹریٹ 55', 'amenity': 'place_of_worship', 'denomination': 'catholic', 'name': 'ایف-8 چرچ', 'name:ar': 'كنيسة إف-8', 'name:en': 'F-8 Church', 'name:ur': 'ایف-8 چرچ', 'religion': 'christian'}",2025-07-29T08:08:59.745750
246850955,node,amenities,Masjid Alfurqan,Masjid Alfurqan,,,English,Islamabad,amenity,place_of_worship,OSM,"[Decimal('73.0480234'), Decimal('33.7275661')]",33.7275661,73.0480234,"{'addr:city': 'اسلام آباد', 'addr:city:ar': 'إسلام آباد', 'addr:city:en': 'Islamabad', 'addr:city:ks': 'اِسلام آبادٖ', 'addr:city:pnb': 'اسلام آباد', 'addr:city:ps': 'اسلام آباد', 'addr:city:sd': 'اسلام آباد', 'addr:city:ur': 'اسلام آباد', 'addr:street': 'Street 11', 'amenity': 'place_of_worship', 'denomination': 'sunni', 'name': 'Masjid Alfurqan', 'religion': 'muslim'}",2025-07-29T08:08:59.745750
247682428,node,amenities,Islamabad Model College for Girls F-6/2,Islamabad Model College for Girls F-6/2,,,English,Islamabad,amenity,school,OSM,"[Decimal('73.0728704'), Decimal('33.7302916')]",33.7302916,73.0728704,"{'amenity': 'school', 'is_in': 'F-6/2, Islamabad', 'name': 'Islamabad Model College for Girls F-6/2'}",2025-07-29T08:08:59.745750
248110276,node,amenities,پاکستان اسٹیٹ آئل (Pakistan State Oil),پاکستان اسٹیٹ آئل,Pakistan State Oil,پاکستان اسٹیٹ آئل,Urdu,Islamabad,amenity,fuel,OSM,"[Decimal('73.1806038'), Decimal('33.5143362')]",33.5143362,73.1806038,"{'amenity': 'fuel', 'brand': 'پاکستان اسٹیٹ آئل', 'brand:ar': 'النفط الحكومية الباكستانية', 'brand:ks': 'پاکستان اسٹیٹ آئل', 'brand:ur': 'پاکستان اسٹیٹ آئل', 'brand:wikidata': 'Q2741455', 'brand:wikipedia': 'ur:پاکستان اسٹیٹ آئل', 'brand:wikipedia:ur': 'پاکستان اسٹیٹ آئل', 'name': 'پاکستان اسٹیٹ آئل', 'name:ar': 'النفط الحكومية الباكستانية', 'name:en': 'Pakistan State Oil', 'name:ks': 'پاکستان اسٹیٹ آئل', 'name:pnb': 'پاکستان سٹیٹ آئل', 'name:sd': 'پاڪستان اسٽيٽ آئل', 'name:ur': 'پاکستان اسٹیٹ آئل', 'short_name': 'پی ایس او', 'short_name:ur': 'پی ایس او'}",2025-07-29T08:08:59.745750
248864319,node,amenities,FG Boys Model School,FG Boys Model School,,,English,Islamabad,amenity,school,OSM,"[Decimal('73.0202663'), Decimal('33.6848070')]",33.684807,73.0202663,"{'amenity': 'school', 'is_in': 'G-10/3, Islamabad', 'name': 'FG Boys Model School'}",2025-07-29T08:08:59.745750
248933520,node,amenities,پاکستان اسٹیٹ آئل (Pakistan State Oil),پاکستان اسٹیٹ آئل,Pakistan State Oil,پاکستان اسٹیٹ آئل,Urdu,Islamabad,amenity,fuel,OSM,"[Decimal('73.0739329'), Decimal('33.5871342')]",33.5871342,73.0739329,"{'amenity': 'fuel', 'brand': 'پاکستان اسٹیٹ آئل', 'brand:ar': 'النفط الحكومية الباكستانية', 'brand:ks': 'پاکستان اسٹیٹ آئل', 'brand:ur': 'پاکستان اسٹیٹ آئل', 'brand:wikidata': 'Q2741455', 'brand:wikipedia': 'ur:پاکستان اسٹیٹ آئل', 'brand:wikipedia:ur': 'پاکستان اسٹیٹ آئل', 'name': 'پاکستان اسٹیٹ آئل', 'name:ar': 'النفط الحكومية الباكستانية', 'name:en': 'Pakistan State Oil', 'name:ks': 'پاکستان اسٹیٹ آئل', 'name:pnb': 'پاکستان سٹیٹ آئل', 'name:sd': 'پاڪستان اسٽيٽ آئل', 'name:ur': 'پاکستان اسٹیٹ آئل', 'short_name': 'پی ایس او', 'short_name:ur': 'پی ایس او'}",2025-07-29T08:08:59.745750
248933542,node,amenities,Cinepax,Cinepax,,,English,Islamabad,amenity,cinema,OSM,"[Decimal('73.0732665'), Decimal('33.5856873')]",33.5856873,73.0732665,"{'addr:city': 'Rawalpindi, Punjab, Pakistan', 'addr:street': 'Airport Road', 'amenity': 'cinema', 'name': 'Cinepax'}",2025-07-29T08:08:59.745750
248936001,node,amenities,پاکستان اسٹیٹ آئل (Pakistan State Oil),پاکستان اسٹیٹ آئل,Pakistan State Oil,پاکستان اسٹیٹ آئل,Urdu,Islamabad,amenity,fuel,OSM,"[Decimal('73.1053930'), Decimal('33.6432847')]",33.6432847,73.105393,"{'amenity': 'fuel', 'brand': 'پاکستان اسٹیٹ آئل', 'brand:ar': 'النفط الحكومية الباكستانية', 'brand:ks': 'پاکستان اسٹیٹ آئل', 'brand:ur': 'پاکستان اسٹیٹ آئل', 'brand:wikidata': 'Q2741455', 'brand:wikipedia': 'ur:پاکستان اسٹیٹ آئل', 'brand:wikipedia:ur': 'پاکستان اسٹیٹ آئل', 'name': 'پاکستان اسٹیٹ آئل', 'name:ar': 'النفط الحكومية الباكستانية', 'name:en': 'Pakistan State Oil', 'name:ks': 'پاکستان اسٹیٹ آئل', 'name:pnb': 'پاکستان سٹیٹ آئل', 'name:sd': 'پاڪستان اسٽيٽ آئل', 'name:ur': 'پاکستان اسٹیٹ آئل', 'short_name': 'پی ایس او', 'short_name:ur': 'پی ایس او'}",2025-07-29T08:08:59.745750
249166537,node,amenities,Shell Pump,Shell Pump,,,English,Islamabad,amenity,fuel,OSM,"[Decimal('73.1048122'), Decimal('33.7086323')]",33.7086323,73.1048122,"{'amenity': 'fuel', 'is_in': 'Islamabad', 'name': 'Shell Pump'}",2025-07-29T08:08:59.745750
253018400,node,amenities,Poly Clinic Hospital,Poly Clinic Hospital,,,English,Islamabad,amenity,hospital,OSM,"[Decimal('73.0828053'), Decimal('33.7211006')]",33.7211006,73.0828053,"{'amenity': 'hospital', 'healthcare': 'hospital', 'is_in': 'G-6, Islamabad', 'name': 'Poly Clinic Hospital'}",2025-07-29T08:08:59.745750
253124176,node,amenities,4 Star Travel Services,4 Star Travel Services,,,English,Islamabad,amenity,bus_station,OSM,"[Decimal('73.0344119'), Decimal('33.6884058')]",33.6884058,73.0344119,"{'amenity': 'bus_station', 'is_in': 'G-9 Markaz, G-9, Islamabad', 'name': '4 Star Travel Services'}",2025-07-29T08:08:59.745750
