osm_id,element_type,category,description,name,name_en,name_ur,language,location,osm_tag_key,osm_tag_value,source,coordinates,latitude,longitude,all_tags,collected_at
251071839,node,amenities,پاکستان اسٹیٹ آئل (Pakistan State Oil),پاکستان اسٹیٹ آئل,Pakistan State Oil,پاکستان اسٹیٹ آئل,Urdu,Peshawar,amenity,fuel,OSM,"[Decimal('71.4765492'), Decimal('29.2612150')]",29.2612150,71.4765492,"{'amenity': 'fuel', 'brand': 'پاکستان اسٹیٹ آئل', 'brand:ar': 'النفط الحكومية الباكستانية', 'brand:ks': 'پاکستان اسٹیٹ آئل', 'brand:ur': 'پاکستان اسٹیٹ آئل', 'brand:wikidata': 'Q2741455', 'brand:wikipedia': 'ur:پاکستان اسٹیٹ آئل', 'brand:wikipedia:ur': 'پاکستان اسٹیٹ آئل', 'name': 'پاکستان اسٹیٹ آئل', 'name:ar': 'النفط الحكومية الباكستانية', 'name:en': 'Pakistan State Oil', 'name:ks': 'پاکستان اسٹیٹ آئل', 'name:pnb': 'پاکستان سٹیٹ آئل', 'name:sd': 'پاڪستان اسٽيٽ آئل', 'name:ur': 'پاکستان اسٹیٹ آئل', 'short_name': 'پی ایس او', 'short_name:ur': 'پی ایس او'}",2025-07-29T09:21:27.475343
251071842,node,amenities,Total Parco Gas Station,Total Parco Gas Station,,,English,Peshawar,amenity,fuel,OSM,"[Decimal('71.4757167'), Decimal('29.2591858')]",29.2591858,71.4757167,"{'amenity': 'fuel', 'created_by': 'Potlatch 0.7b', 'name': 'Total Parco Gas Station'}",2025-07-29T09:21:27.475343
307372704,node,amenities,Total Parco,Total Parco,,,English,Peshawar,amenity,fuel,OSM,"[Decimal('71.5442984'), Decimal('33.9731869')]",33.9731869,71.5442984,"{'amenity': 'fuel', 'compressed_air': 'yes', 'name': 'Total Parco', 'opening_hours': 'Mo-Su 07:00-12:00'}",2025-07-29T09:21:27.475343
307399157,node,amenities,شیل (Shell),شیل,Shell,شیل,Urdu,Peshawar,amenity,fuel,OSM,"[Decimal('71.4691296'), Decimal('33.9754999')]",33.9754999,71.4691296,"{'amenity': 'fuel', 'brand': 'شیل', 'brand:ar': 'شل', 'brand:ur': 'شیل', 'brand:wikidata': 'Q154950', 'brand:wikipedia': 'ur:رائل دٹچ شیل', 'brand:wikipedia:ar': 'رويال داتش شل', 'brand:wikipedia:ur': 'رائل دٹچ شیل', 'name': 'شیل', 'name:ar': 'شل', 'name:en': 'Shell', 'name:fa': 'شل', 'name:pa': 'ਸ਼ੈਲ', 'name:ur': 'شیل'}",2025-07-29T09:21:27.475343
307399313,node,amenities,پاکستان اسٹیٹ آئل (Pakistan State Oil),پاکستان اسٹیٹ آئل,Pakistan State Oil,پاکستان اسٹیٹ آئل,Urdu,Peshawar,amenity,fuel,OSM,"[Decimal('71.4604625'), Decimal('33.9742852')]",33.9742852,71.4604625,"{'amenity': 'fuel', 'brand': 'پاکستان اسٹیٹ آئل', 'brand:ar': 'النفط الحكومية الباكستانية', 'brand:ks': 'پاکستان اسٹیٹ آئل', 'brand:ur': 'پاکستان اسٹیٹ آئل', 'brand:wikidata': 'Q2741455', 'brand:wikipedia': 'ur:پاکستان اسٹیٹ آئل', 'brand:wikipedia:ur': 'پاکستان اسٹیٹ آئل', 'name': 'پاکستان اسٹیٹ آئل', 'name:ar': 'النفط الحكومية الباكستانية', 'name:en': 'Pakistan State Oil', 'name:ks': 'پاکستان اسٹیٹ آئل', 'name:pnb': 'پاکستان سٹیٹ آئل', 'name:sd': 'پاڪستان اسٽيٽ آئل', 'name:ur': 'پاکستان اسٹیٹ آئل', 'short_name': 'پی ایس او', 'short_name:ur': 'پی ایس او'}",2025-07-29T09:21:27.475343
307399328,node,amenities,parco,parco,parco,,English,Peshawar,amenity,fuel,OSM,"[Decimal('71.4616560'), Decimal('33.9744354')]",33.9744354,71.4616560,"{'addr:street': 'Ring Road', 'amenity': 'fuel', 'name': 'parco', 'name:en': 'parco'}",2025-07-29T09:21:27.475343
307674921,node,amenities,CNG Station,CNG Station,,,English,Peshawar,amenity,fuel,OSM,"[Decimal('71.5939604'), Decimal('34.0725380')]",34.0725380,71.5939604,"{'amenity': 'fuel', 'created_by': 'Potlatch 0.10e', 'name': 'CNG Station'}",2025-07-29T09:21:27.475343
444356918,node,amenities,شاہی عید گاہ مسجد (Shahi Eid Gah Masjid),شاہی عید گاہ مسجد,Shahi Eid Gah Masjid,شاہی عید گاہ مسجد,Urdu,Peshawar,amenity,place_of_worship,OSM,"[Decimal('71.4789388'), Decimal('30.2107936')]",30.2107936,71.4789388,"{'amenity': 'place_of_worship', 'name': 'شاہی عید گاہ مسجد', 'name:en': 'Shahi Eid Gah Masjid', 'name:ur': 'شاہی عید گاہ مسجد', 'religion': 'muslim'}",2025-07-29T09:21:27.475343
444356921,node,amenities,Nishtar Medical College,Nishtar Medical College,,,English,Peshawar,amenity,hospital,OSM,"[Decimal('71.4440615'), Decimal('30.2029481')]",30.2029481,71.4440615,"{'amenity': 'hospital', 'healthcare': 'hospital', 'name': 'Nishtar Medical College'}",2025-07-29T09:21:27.475343
444357811,node,amenities,University Clinic,University Clinic,,,English,Peshawar,amenity,clinic,OSM,"[Decimal('71.5027225'), Decimal('30.2691062')]",30.2691062,71.5027225,"{'amenity': 'clinic', 'healthcare': 'clinic', 'name': 'University Clinic'}",2025-07-29T09:21:27.475343
603101022,node,amenities,Dera Inn,Dera Inn,,,English,Peshawar,amenity,restaurant,OSM,"[Decimal('71.4940532'), Decimal('30.2706792')]",30.2706792,71.4940532,"{'amenity': 'restaurant', 'cuisine': 'international', 'name': 'Dera Inn', 'source': 'local survey'}",2025-07-29T09:21:27.475343
854341089,node,amenities,CMH Peshawar - Combined Military Hospital,CMH Peshawar - Combined Military Hospital,,,English,Peshawar,amenity,hospital,OSM,"[Decimal('71.5427023'), Decimal('34.0034083')]",34.0034083,71.5427023,"{'amenity': 'hospital', 'emergency': 'yes', 'name': 'CMH Peshawar - Combined Military Hospital', 'source': 'CIA map'}",2025-07-29T09:21:27.475343
965808597,node,amenities,AliGarh School,AliGarh School,,,English,Peshawar,amenity,school,OSM,"[Decimal('71.4736966'), Decimal('30.2207254')]",30.2207254,71.4736966,"{'amenity': 'school', 'name': 'AliGarh School'}",2025-07-29T09:21:27.475343
1223880845,node,amenities,The Bank of Khyber,The Bank of Khyber,,,English,Peshawar,amenity,bank,OSM,"[Decimal('71.5853439'), Decimal('34.0162542')]",34.0162542,71.5853439,"{'amenity': 'bank', 'name': 'The Bank of Khyber'}",2025-07-29T09:21:27.475343
1223933221,node,amenities,Tehkal Juma'at,Tehkal Juma'at,,,English,Peshawar,amenity,place_of_worship,OSM,"[Decimal('71.5188688'), Decimal('34.0088032')]",34.0088032,71.5188688,"{'amenity': 'place_of_worship', 'name': ""Tehkal Juma'at"", 'religion': 'muslim'}",2025-07-29T09:21:27.475343
1223944102,node,amenities,Shaheen Chemist,Shaheen Chemist,,,English,Peshawar,amenity,pharmacy,OSM,"[Decimal('71.4919760'), Decimal('33.9972940')]",33.9972940,71.4919760,"{'amenity': 'pharmacy', 'dispensing': 'yes', 'healthcare': 'pharmacy', 'name': 'Shaheen Chemist', 'operator': 'private'}",2025-07-29T09:21:27.475343
1223944307,node,amenities,MCB [ایم سی بی بینک],MCB,MCB,ایم سی بی بینک,Urdu,Peshawar,amenity,bank,OSM,"[Decimal('71.4921701'), Decimal('33.9967336')]",33.9967336,71.4921701,"{'amenity': 'bank', 'brand': 'MCB', 'brand:ar': 'إم سي بي بنك', 'brand:en': 'MCB', 'brand:ur': 'ایم سی بی بینک', 'brand:website': 'https://www.mcb.com.pk/urdu', 'brand:wikidata': 'Q15982510', 'brand:wikipedia': 'ur:ایم سی بی بینک لمیٹڈ', 'brand:wikipedia:ar': 'إم سي بي بنك المحدود', 'brand:wikipedia:ur': 'ایم سی بی بینک لمیٹڈ', 'name': 'MCB', 'name:ar': 'إم سي بي بنك', 'name:de': 'MCB Bank', 'name:en': 'MCB', 'name:ur': 'ایم سی بی بینک'}",2025-07-29T09:21:27.475343
1223966087,node,amenities,Town Police Station,Town Police Station,,,English,Peshawar,amenity,police,OSM,"[Decimal('71.4909351'), Decimal('33.9978386')]",33.9978386,71.4909351,"{'amenity': 'police', 'name': 'Town Police Station'}",2025-07-29T09:21:27.475343
1224121362,node,amenities,KFC,KFC,,,English,Peshawar,amenity,restaurant,OSM,"[Decimal('71.5255332'), Decimal('34.0072935')]",34.0072935,71.5255332,"{'amenity': 'restaurant', 'brand': 'KFC', 'brand:ar': 'دجاج كنتاكي', 'brand:fa': 'کی\u200cاف\u200cسی', 'brand:wikipedia': 'ur:کینٹکی فرائیڈ چکن', 'brand:wikipedia:ar': 'دجاج كنتاكي', 'brand:wikipedia:fa': 'کی\u200cاف\u200cسی', 'brand:wikipedia:ur': 'کینٹکی فرائیڈ چکن', 'cuisine': 'chicken', 'name': 'KFC', 'name:ar': 'دجاج كنتاكي', 'name:fa': 'کی\u200cاف\u200cسی', 'takeaway': 'yes'}",2025-07-29T09:21:27.475343
1224127544,node,amenities,شیل (Shell),شیل,Shell,شیل,Urdu,Peshawar,amenity,fuel,OSM,"[Decimal('71.5266061'), Decimal('34.0070267')]",34.0070267,71.5266061,"{'amenity': 'fuel', 'brand': 'شیل', 'brand:ar': 'شل', 'brand:ur': 'شیل', 'brand:wikidata': 'Q154950', 'brand:wikipedia': 'ur:رائل دٹچ شیل', 'brand:wikipedia:ar': 'رويال داتش شل', 'brand:wikipedia:ur': 'رائل دٹچ شیل', 'name': 'شیل', 'name:ar': 'شل', 'name:en': 'Shell', 'name:fa': 'شل', 'name:pa': 'ਸ਼ੈਲ', 'name:ur': 'شیل'}",2025-07-29T09:21:27.475343
1224127555,node,amenities,Fauji Foundation School,Fauji Foundation School,,,English,Peshawar,amenity,school,OSM,"[Decimal('71.5331494'), Decimal('34.0124548')]",34.0124548,71.5331494,"{'amenity': 'school', 'name': 'Fauji Foundation School'}",2025-07-29T09:21:27.475343
1224141080,node,amenities,Abu Bakar,Abu Bakar,,,English,Peshawar,amenity,place_of_worship,OSM,"[Decimal('71.5480637'), Decimal('34.0230342')]",34.0230342,71.5480637,"{'amenity': 'place_of_worship', 'name': 'Abu Bakar', 'religion': 'muslim'}",2025-07-29T09:21:27.475343
