id,osm_id,osm_geom_type,osm_tag_key,osm_tag_value,name,name_ur,alt_name,description_raw,description_final,description_source,wikipedia_title,wikipedia_url,lat,lon,city,province,country,language,dedup_group_id,brand,operator,wikidata
d392be33-0986-530c-bd0f-0247b1997eb6,4059491780,node,place,neighbourhood,Lashkari Goth,,,,,OSM,,,24.8804148,66.8345916,Karachi,Sindh,Pakistan,,,,,
7667e142-95f1-5678-b766-a80316d62484,593786972,way,place,neighbourhood,Sector 66,,,,,OSM,,,24.8724275,66.8258748,Karachi,Sindh,Pakistan,,,,,
583b6d68-2bbc-5696-8776-ad3e205bdfa6,593786974,way,place,neighbourhood,Sector 65,,,,,OSM,,,24.8716024,66.8307401,Karachi,Sindh,Pakistan,,,,,
ba95e9e2-e606-5753-8d7f-36bb40685ad5,593786975,way,place,neighbourhood,Sector 64,,,,,OSM,,,24.8644373,66.8326775,Karachi,Sindh,Pakistan,,,,,
3256f042-9c4a-50e3-aa40-9031c5927855,593786978,way,place,neighbourhood,Sector 14,,,,,OSM,,,24.8694753,66.8482156,Karachi,Sindh,Pakistan,,,,,
28575086-d279-56b6-9a6c-e4f20245d1d9,593855524,way,place,neighbourhood,Sector 69,,,,,OSM,,,24.8824592,66.808229,Karachi,Sindh,Pakistan,,,,,
1a7f6ca9-906d-59a2-8c2f-5bf2e3da8c40,593855539,way,place,neighbourhood,سیکٹر 36,سیکٹر 36,,,,OSM,,,24.9044099,66.8228575,Karachi,Sindh,Pakistan,,,,,
8961bfa3-1a64-542e-a37b-bb2b12431186,403601285,way,place,neighbourhood,Sector 61,,,,,OSM,,,24.8866321,66.821336,Karachi,Sindh,Pakistan,,,,,
e3979187-166c-579f-b79c-ebca2df42b57,593738790,way,place,neighbourhood,Sector 68,,,,,OSM,,,24.8776677,66.8146854,Karachi,Sindh,Pakistan,,,,,
1a913d4c-2f15-5eb5-aaa5-d4f1269e8655,593738791,way,place,neighbourhood,Sector 67,,,,,OSM,,,24.8746868,66.8200366,Karachi,Sindh,Pakistan,,,,,
f97d5aa5-75aa-58f1-b287-14fb75944938,593738788,way,natural,water,,,,,,OSM,,,24.885888,66.8098678,Karachi,Sindh,Pakistan,,,,,
7fb11daa-fd4e-5130-a73e-b06ccc500ea7,593864917,way,place,neighbourhood,Sector 70,,,,,OSM,,,24.8878612,66.8047714,Karachi,Sindh,Pakistan,,,,,
76b23a84-3ccc-5931-b9c4-85511c7e6e00,1288838545,way,natural,water,,,,,,OSM,,,24.8827518,66.8101331,Karachi,Sindh,Pakistan,,,,,
c4cbeb15-781a-55db-b255-6892266ca899,403601280,way,place,neighbourhood,Sector 60,,,,,OSM,,,24.8908028,66.8166919,Karachi,Sindh,Pakistan,,,,,
b401d2b3-6fa0-5661-86fe-ef0180f83f35,593738792,way,place,neighbourhood,Sector 62,,,,,OSM,,,24.8836011,66.8254032,Karachi,Sindh,Pakistan,,,,,
87d12508-eca1-5cbd-ba6a-b55c03fb0567,593738793,way,place,neighbourhood,Sector 63,,,,,OSM,,,24.8808089,66.8303029,Karachi,Sindh,Pakistan,,,,,
991397a5-c6fb-5bf7-8393-42c76bac799b,593786976,way,place,neighbourhood,Sector 54,,,,,OSM,,,24.873821,66.8372626,Karachi,Sindh,Pakistan,,,,,
aa9de3b6-0fc2-53f8-9502-92c8c9483c6d,593738794,way,place,neighbourhood,Sector 57,,,,,OSM,,,24.8887129,66.8312663,Karachi,Sindh,Pakistan,,,,,
5b659826-a04f-5f39-9e68-438887a1e4ac,593738795,way,place,neighbourhood,Sector 56,,,,,OSM,,,24.8856705,66.8344515,Karachi,Sindh,Pakistan,,,,,
d0d2e51e-fee6-51b0-8d18-d0f7403b7a30,593738796,way,place,neighbourhood,Sector 50,,,,,OSM,,,24.8921085,66.8368521,Karachi,Sindh,Pakistan,,,,,
090e3e9d-b9e1-5d46-ae9c-3352682d9df6,593738797,way,place,neighbourhood,Sector 51,,,,,OSM,,,24.888697,66.8390957,Karachi,Sindh,Pakistan,,,,,
1ccefb65-8273-55df-a128-f3f8eb8d3bd2,593855530,way,natural,water,,,,,,OSM,,,24.8952634,66.7995186,Karachi,Sindh,Pakistan,,,,,
dd0390f5-363d-59e5-b76c-730e49b80eda,403601281,way,place,neighbourhood,Sector 59,,,,,OSM,,,24.8990273,66.8250006,Karachi,Sindh,Pakistan,,,,,
c0a3816e-fac0-53da-ad84-734f3638dd71,403601282,way,place,neighbourhood,Sector 48,,,,,OSM,,,24.9037334,66.8315078,Karachi,Sindh,Pakistan,,,,,
be2420bd-b078-5775-a37e-e0e47d83fd5b,403601294,way,place,neighbourhood,Sector 34,,,,,OSM,,,24.9035124,66.8487952,Karachi,Sindh,Pakistan,,,,,
ec409cf5-1330-5d7c-9a17-8811c0fda363,403601301,way,place,neighbourhood,Sector 30,,,,,OSM,,,24.8828236,66.8593113,Karachi,Sindh,Pakistan,,,,,
075f52ab-0fc8-5100-b55f-7c6a95fc7661,403601344,way,place,neighbourhood,Sector 14,,,,,OSM,,,24.8780934,66.868916,Karachi,Sindh,Pakistan,,,,,
6ffa25c8-cf07-5f5a-9bf2-31965e49f0c7,593738803,way,place,neighbourhood,Sector 28 A,,,,,OSM,,,24.8800338,66.8668502,Karachi,Sindh,Pakistan,,,,,
