items,support,count
bank,0.3780744905130007,4304
park,0.35514757554462406,4043
neighbourhood,0.12702037947997188,1446
"bank, bank",0.11287772312016865,1285
hospital,0.1027758257203092,1170
"bank, بینک",0.10242445537596627,1166
بینک,0.09882290934645116,1125
"park, park",0.08995080815179199,1024
atm,0.07554462403373155,860
"atm, bank",0.05850316233309909,666
clinic,0.052881236823612086,602
water,0.05007027406886859,570
marketplace,0.048576950105411104,553
pharmacy,0.04646872803935348,529
"bank, habib",0.04620520028109627,526
cemetery,0.044009135628952915,501
police,0.041988756148981024,478
"hospital, hospital",0.031886858749121574,363
market,0.0311841180604357,355
"market, marketplace",0.02898805340829234,330
"police, station",0.028109627547434995,320
"bank, branch",0.02793394237526353,318
station,0.02679198875614898,305
habib,0.025913562895291637,295
medical,0.025737877723120167,293
"bank, پاکستان",0.02354181307097681,268
پاکستان,0.023102600140548137,263
"bank, limited",0.02292691496837667,261
"bank, meezan",0.021609276177090655,246
"بینک, لمیٹڈ",0.021433591004919185,244
لمیٹڈ,0.021433591004919185,244
"bank, لمیٹڈ",0.020994378074490512,239
block,0.01932536893886156,220
"bank, ایل",0.01932536893886156,220
"bank, ایچ",0.01914968376669009,218
ایچ,0.019061841180604357,217
"bank, ltd",0.01871047083626142,213
ایل,0.018271257905832748,208
"ایل, پاکستان",0.018183415319747015,207
"ایچ, پاکستان",0.018183415319747015,207
"ایل, ایچ",0.018183415319747015,207
"police, police",0.01730498945888967,197
"clinic, clinic",0.017129304286718203,195
"bank, national",0.017041461700632466,194
branch,0.01669009135628953,190
"askari, bank",0.016075193253689387,183
"atm, atm",0.01572382290934645,179
"bank, الائیڈ",0.015196767392832045,173
"bank, mcb",0.014933239634574842,170
"الائیڈ, بینک",0.014757554462403373,168
الائیڈ,0.014757554462403373,168
store,0.013791286015460294,157
society,0.013527758257203091,154
centre,0.012649332396345749,144
sector,0.012473647224174279,142
"medical, pharmacy",0.012385804638088546,141
limited,0.012297962052002811,140
"block, neighbourhood",0.011946591707659873,136
"bank, میزان",0.011946591707659873,136
"pharmacy, store",0.01185874912157414,135
meezan,0.011770906535488405,134
national,0.01168306394940267,133
ایم,0.011595221363316937,132
"ایم, بینک",0.011419536191145467,130
"bank, ایم",0.011243851018973999,128
"الائیڈ, لمیٹڈ",0.01106816584680253,126
colony,0.01089248067463106,124
mcb,0.010804638088545327,123
"medical, store",0.010716795502459592,122
"neighbourhood, society",0.010716795502459592,122
ltd,0.010628952916373858,121
"hospital, medical",0.010365425158116654,118
یونائیٹڈ,0.010365425158116654,118
"بینک, میزان",0.010277582572030921,117
میزان,0.010277582572030921,117
"بینک, یونائیٹڈ",0.010189739985945186,116
"neighbourhood, sector",0.010189739985945186,116
"لمیٹڈ, یونائیٹڈ",0.010101897399859451,115
"bank, یونائیٹڈ",0.010101897399859451,115
askari,0.010014054813773718,114
center,0.010014054813773718,114
