osm_id,element_type,category,description,name,name_en,name_ur,language,location,osm_tag_key,osm_tag_value,source,coordinates,latitude,longitude,all_tags,collected_at
310716930,node,amenities,St Joseph's Convent School Jalandhar Cantt,St Joseph's Convent School Jalandhar Cantt,,,English,Skardu,amenity,school,OSM,"[Decimal('75.5999610'), Decimal('31.3083750')]",31.3083750,75.5999610,"{'amenity': 'school', 'name': ""St Joseph's Convent School Jalandhar Cantt""}",2025-07-29T09:22:26.231618
311477023,node,amenities,Adarsh Nagar Market,Adarsh Nagar Market,,,English,Skardu,amenity,marketplace,OSM,"[Decimal('75.5626409'), Decimal('31.3303935')]",31.3303935,75.5626409,"{'addr:city': 'JALANDHAR', 'addr:housenumber': 'SCF 266', 'addr:postcode': '144008', 'addr:street': 'ADARSH NAGAR', 'amenity': 'marketplace', 'building': 'PETALS_IMMIGRATION_AND_EDUCATION_CONSULTANTS', 'name': 'Adarsh Nagar Market', 'opening_hours': 'Mo-Su 09:00-08:00', 'operator': 'PETALS IMMIGRATION', 'phone': '+918908624786'}",2025-07-29T09:22:26.232622
311669084,node,amenities,Session Court Jalandhar,Session Court Jalandhar,,,English,Skardu,amenity,courthouse,OSM,"[Decimal('75.5943425'), Decimal('31.3210186')]",31.3210186,75.5943425,"{'amenity': 'courthouse', 'name': 'Session Court Jalandhar'}",2025-07-29T09:22:26.232622
346154870,node,amenities,All night canteen,All night canteen,,,English,Skardu,amenity,cafe,OSM,"[Decimal('75.5894167'), Decimal('28.3603778')]",28.3603778,75.5894167,"{'air_conditioning': 'no', 'amenity': 'cafe', 'created_by': 'Potlatch 0.10f', 'name': 'All night canteen', 'opening_hours': 'Mo-Su 17:00-02:00'}",2025-07-29T09:22:26.232622
348007619,node,amenities,Indian Oil,Indian Oil,,,English,Skardu,amenity,fuel,OSM,"[Decimal('75.5881903'), Decimal('28.3732657')]",28.3732657,75.5881903,"{'amenity': 'fuel', 'brand': 'Indian Oil', 'brand:wikidata': 'Q1289348', 'name': 'Indian Oil'}",2025-07-29T09:22:26.232622
477127498,node,amenities,Indian Oil,Indian Oil,,,English,Skardu,amenity,fuel,OSM,"[Decimal('75.6319612'), Decimal('31.3059739')]",31.3059739,75.6319612,"{'amenity': 'fuel', 'brand': 'Indian Oil', 'brand:wikidata': 'Q1289348', 'brand:wikipedia': 'en:Indian Oil Corporation', 'name': 'Indian Oil'}",2025-07-29T09:22:26.232622
477141643,node,amenities,DPS,DPS,,,English,Skardu,amenity,school,OSM,"[Decimal('75.6433611'), Decimal('31.3012875')]",31.3012875,75.6433611,"{'amenity': 'school', 'name': 'DPS'}",2025-07-29T09:22:26.232622
477141659,node,amenities,Haveli,Haveli,,,English,Skardu,amenity,restaurant,OSM,"[Decimal('75.6765536'), Decimal('31.2779076')]",31.2779076,75.6765536,"{'amenity': 'restaurant', 'name': 'Haveli'}",2025-07-29T09:22:26.232622
579844028,node,amenities,Jatindra,Jatindra,,,English,Skardu,amenity,fuel,OSM,"[Decimal('75.5634744'), Decimal('30.8197669')]",30.8197669,75.5634744,"{'amenity': 'fuel', 'name': 'Jatindra', 'operator': 'HP'}",2025-07-29T09:22:26.232622
605908625,node,amenities,primary school,primary school,,,English,Skardu,amenity,school,OSM,"[Decimal('75.5829436'), Decimal('32.2545180')]",32.2545180,75.5829436,"{'amenity': 'school', 'name': 'primary school'}",2025-07-29T09:22:26.232622
