antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'main'}),frozenset({'shop__convenience'}),0.26157407407407407,0.1095679012345679,0.02700617283950617,0.10324483775811209,0.942290913623333,1.0,-0.0016539494741655246,0.9929489522417154,-0.0765858903316517,0.07847533632286996,-0.00710111808101103,0.17486185549877434
frozenset({'general'}),frozenset({'shop__convenience'}),0.007716049382716049,0.1095679012345679,0.007716049382716049,1.0,9.126760563380282,1.0,0.006870618046029568,inf,0.8973561430793158,0.07042253521126761,1.0,0.5352112676056338
frozenset({'main'}),frozenset({'leisure__park'}),0.26157407407407407,0.125,0.031635802469135804,0.1209439528023599,0.9675516224188792,1.0,-0.0010609567901234546,0.9953859060402686,-0.04344328238133539,0.0891304347826087,-0.004635482511588692,0.18701518627772318
frozenset({'aik'}),frozenset({'leisure__park'}),0.09953703703703703,0.125,0.013888888888888888,0.13953488372093023,1.1162790697674418,1.0,0.0014467592592592587,1.0168918918918919,0.11568123393316192,0.06593406593406594,0.01661129568106312,0.12532299741602065
frozenset({'aik'}),frozenset({'amenity__cafe'}),0.09953703703703703,0.13425925925925927,0.018518518518518517,0.18604651162790697,1.3857257417802724,1.0,0.005154749657064469,1.0636243386243385,0.3091259640102826,0.08602150537634408,0.05981843054346473,0.16198877305533277
frozenset({'aik'}),frozenset({'tourism__hotel'}),0.09953703703703703,0.12037037037037036,0.013117283950617283,0.1317829457364341,1.0948121645796063,1.0,0.0011359739368998634,1.0131448412698414,0.09617420232874646,0.06343283582089553,0.012974296205630344,0.12037865235539653
frozenset({'aik'}),frozenset({'shop__clothes'}),0.09953703703703703,0.1381172839506173,0.012345679012345678,0.12403100775193798,0.8980122125503442,1.0,-0.001402106195701875,0.9839192068174369,-0.11199885861035815,0.0547945205479452,-0.016343611417626122,0.10670824130613658
frozenset({'aik'}),frozenset({'amenity__police'}),0.09953703703703703,0.13194444444444445,0.013888888888888888,0.13953488372093023,1.0575275397796817,1.0,0.0007555298353909452,1.0088213213213213,0.06041131105398448,0.06382978723404255,0.008744186046511622,0.12239902080783353
"frozenset({'aik', 'main'})",frozenset({'leisure__park'}),0.09722222222222222,0.125,0.013888888888888888,0.14285714285714285,1.1428571428571428,1.0,0.0017361111111111101,1.0208333333333333,0.13846153846153839,0.06666666666666667,0.020408163265306114,0.12698412698412698
frozenset({'aik'}),"frozenset({'leisure__park', 'main'})",0.09953703703703703,0.031635802469135804,0.013888888888888888,0.13953488372093023,4.410663641520136,1.0,0.01073995484682213,1.1253962295628963,0.858754641530991,0.11842105263157894,0.11142407115723153,0.2892796369824163
"frozenset({'aik', 'main'})",frozenset({'amenity__cafe'}),0.09722222222222222,0.13425925925925927,0.018518518518518517,0.19047619047619047,1.41871921182266,1.0,0.005465534979423866,1.0694444444444444,0.32692307692307676,0.08695652173913042,0.06493506493506492,0.16420361247947451
frozenset({'aik'}),"frozenset({'amenity__cafe', 'main'})",0.09953703703703703,0.044753086419753084,0.018518518518518517,0.18604651162790697,4.157177225340818,1.0,0.014063928898033835,1.173589065255732,0.843401885175664,0.14723926380368096,0.14791298794003832,0.29991980753809144
"frozenset({'aik', 'main'})",frozenset({'tourism__hotel'}),0.09722222222222222,0.12037037037037036,0.013117283950617283,0.1349206349206349,1.120879120879121,1.0,0.0014146090534979429,1.0168195718654434,0.11945701357466068,0.06415094339622641,0.016541353383458645,0.12194749694749694
frozenset({'aik'}),"frozenset({'main', 'tourism__hotel'})",0.09953703703703703,0.02546296296296296,0.013117283950617283,0.1317829457364341,5.175475687103594,1.0,0.010582776063100137,1.1224578373015874,0.8959624981097838,0.11724137931034483,0.10909793956802738,0.32346723044397463
"frozenset({'aik', 'main'})",frozenset({'shop__clothes'}),0.09722222222222222,0.1381172839506173,0.012345679012345678,0.12698412698412698,0.9193934557063048,1.0,-0.001082390260631002,0.9872474747474748,-0.08851884312007015,0.05536332179930796,-0.012917252845632445,0.10818480092223108
frozenset({'aik'}),"frozenset({'shop__clothes', 'main'})",0.09953703703703703,0.033179012345679014,0.012345679012345678,0.12403100775193798,3.7382368848025957,1.0,0.009043138431641517,1.1037159947558177,0.8134640102827763,0.10256410256410255,0.09396982126617048,0.24806201550387594
"frozenset({'aik', 'main'})",frozenset({'amenity__police'}),0.09722222222222222,0.13194444444444445,0.012345679012345678,0.12698412698412698,0.9624060150375939,1.0,-0.0004822530864197535,0.9943181818181819,-0.04147465437788021,0.05693950177935942,-0.0057142857142857256,0.11027568922305764
frozenset({'aik'}),"frozenset({'amenity__police', 'main'})",0.09953703703703703,0.04089506172839506,0.012345679012345678,0.12403100775193798,3.0329091706888986,1.0,0.008275105738454504,1.0949074074074074,0.7443766066838047,0.09638554216867469,0.08668076109936575,0.21295890010238408
frozenset({'main'}),frozenset({'shop__tailor'}),0.26157407407407407,0.12962962962962962,0.033950617283950615,0.12979351032448377,1.0012642225031605,1.0,4.286694101508781e-05,1.0001883239171374,0.0017098888572242266,0.09503239740820733,0.00018828845791753586,0.19584913611462285
frozenset({'yesterday'}),frozenset({'shop__tailor'}),0.06790123456790123,0.12962962962962962,0.006944444444444444,0.10227272727272728,0.7889610389610391,1.0,-0.001857567443987197,0.9695264885138303,-0.22298456260720412,0.03643724696356276,-0.03143133462282397,0.07792207792207792
frozenset({'yesterday'}),frozenset({'amenity__police'}),0.06790123456790123,0.13194444444444445,0.006944444444444444,0.10227272727272728,0.7751196172248804,1.0,-0.0020147462277091913,0.9669479606188467,-0.23737373737373746,0.036,-0.034181818181818174,0.07745215311004786
