target_label,count
amenity__place_of_worship,5591
landuse__residential,4348
amenity__restaurant,4141
leisure__park,2931
amenity__bank,2771
place__neighbourhood,1545
shop__clothes,1484
amenity__fast_food,1373
amenity__parking,1338
amenity__fuel,1332
office__company,1212
natural__tree,1208
shop__bakery,1093
amenity__cafe,1007
leisure__pitch,905
healthcare__hospital,847
office__government,793
shop__supermarket,784
shop__electronics,777
tourism__hotel,767
shop__car_repair,717
place__village,693
place__suburb,693
landuse__commercial,632
natural__wood,595
public_transport__platform,539
natural__water,528
landuse__cemetery,526
shop__beauty,511
office__estate_agent,509
amenity__atm,494
shop__mall,485
natural__scrub,451
shop__furniture,448
landuse__industrial,439
tourism__hostel,409
healthcare__pharmacy,409
leisure__playground,401
shop__mobile_phone,394
shop__jewelry,393
shop__convenience,363
tourism__guest_house,361
shop__computer,351
healthcare__clinic,337
amenity__police,324
tourism__attraction,323
shop__shoes,317
shop__books,297
amenity__ice_cream,285
shop__car_parts,284
