antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'darzi'}),frozenset({'shop__tailor'}),0.006944444444444444,0.12962962962962962,0.006944444444444444,1.0,7.714285714285714,1.0,0.006044238683127571,inf,0.8764568764568764,0.05357142857142857,1.0,0.5267857142857143
"frozenset({'aik', 'police', 'main'})",frozenset({'amenity__police'}),0.005401234567901234,0.13194444444444445,0.005401234567901234,1.0,7.578947368421052,1.0,0.004688571673525377,inf,0.8727695888285493,0.04093567251461988,1.0,0.52046783625731
"frozenset({'station', 'saddar'})","frozenset({'police', 'amenity__police'})",0.005401234567901234,0.04861111111111111,0.005401234567901234,1.0,20.57142857142857,1.0,0.005138674554183813,inf,0.9565554693560899,0.11111111111111109,1.0,0.5555555555555556
"frozenset({'police', 'aik'})",frozenset({'amenity__police'}),0.006172839506172839,0.13194444444444445,0.006172839506172839,1.0,7.578947368421052,1.0,0.005358367626886145,inf,0.873447204968944,0.04678362573099415,1.0,0.5233918128654971
"frozenset({'station', 'police', 'aik'})",frozenset({'amenity__police'}),0.006172839506172839,0.13194444444444445,0.006172839506172839,1.0,7.578947368421052,1.0,0.005358367626886145,inf,0.873447204968944,0.04678362573099415,1.0,0.5233918128654971
"frozenset({'station', 'aik'})","frozenset({'police', 'amenity__police'})",0.006172839506172839,0.04861111111111111,0.006172839506172839,1.0,20.57142857142857,1.0,0.005872770919067215,inf,0.9572981366459627,0.12698412698412698,1.0,0.5634920634920635
"frozenset({'police', 'aik'})","frozenset({'station', 'amenity__police'})",0.006172839506172839,0.05169753086419753,0.006172839506172839,1.0,19.34328358208955,1.0,0.005853718945282731,inf,0.954192546583851,0.11940298507462686,1.0,0.5597014925373134
frozenset({'eatery'}),frozenset({'amenity__restaurant'}),0.019290123456790122,0.1111111111111111,0.019290123456790122,1.0,9.0,1.0,0.017146776406035666,inf,0.906372934697089,0.1736111111111111,1.0,0.5868055555555556
"frozenset({'coffee', 'shop'})",frozenset({'amenity__cafe'}),0.020833333333333332,0.13425925925925927,0.020833333333333332,1.0,7.448275862068964,1.0,0.018036265432098762,inf,0.884160756501182,0.15517241379310343,1.0,0.5775862068965517
frozenset({'coffee'}),frozenset({'amenity__cafe'}),0.020833333333333332,0.13425925925925927,0.020833333333333332,1.0,7.448275862068964,1.0,0.018036265432098762,inf,0.884160756501182,0.15517241379310343,1.0,0.5775862068965517
frozenset({'boutique'}),frozenset({'shop__clothes'}),0.021604938271604937,0.1381172839506173,0.021604938271604937,1.0,7.24022346368715,1.0,0.018620922877610118,inf,0.8809148264984227,0.1564245810055866,1.0,0.5782122905027933
"frozenset({'aik', 'station', 'police', 'main'})",frozenset({'amenity__police'}),0.005401234567901234,0.13194444444444445,0.005401234567901234,1.0,7.578947368421052,1.0,0.004688571673525377,inf,0.8727695888285493,0.04093567251461988,1.0,0.52046783625731
"frozenset({'aik', 'station', 'main'})","frozenset({'police', 'amenity__police'})",0.005401234567901234,0.04861111111111111,0.005401234567901234,1.0,20.57142857142857,1.0,0.005138674554183813,inf,0.9565554693560899,0.11111111111111109,1.0,0.5555555555555556
"frozenset({'aik', 'police', 'main'})","frozenset({'station', 'amenity__police'})",0.005401234567901234,0.05169753086419753,0.005401234567901234,1.0,19.34328358208955,1.0,0.0051220040771223895,inf,0.9534522885958107,0.10447761194029849,1.0,0.5522388059701493
frozenset({'garden'}),frozenset({'leisure__park'}),0.010802469135802469,0.125,0.010802469135802469,1.0,8.0,1.0,0.00945216049382716,inf,0.8845553822152887,0.08641975308641975,1.0,0.5432098765432098
frozenset({'outlet'}),"frozenset({'shop__clothes', 'fashion'})",0.022376543209876542,0.029320987654320986,0.022376543209876542,1.0,34.10526315789474,1.0,0.02172044086267337,inf,0.9928966061562746,0.7631578947368421,1.0,0.881578947368421
"frozenset({'fashion', 'outlet'})",frozenset({'shop__clothes'}),0.022376543209876542,0.1381172839506173,0.022376543209876542,1.0,7.24022346368715,1.0,0.019285955837524765,inf,0.8816101026045777,0.16201117318435754,1.0,0.5810055865921788
frozenset({'outlet'}),frozenset({'shop__clothes'}),0.022376543209876542,0.1381172839506173,0.022376543209876542,1.0,7.24022346368715,1.0,0.019285955837524765,inf,0.8816101026045777,0.16201117318435754,1.0,0.5810055865921788
"frozenset({'station', 'police', 'saddar'})",frozenset({'amenity__police'}),0.005401234567901234,0.13194444444444445,0.005401234567901234,1.0,7.578947368421052,1.0,0.004688571673525377,inf,0.8727695888285493,0.04093567251461988,1.0,0.52046783625731
frozenset({'clothing'}),frozenset({'shop__clothes'}),0.023148148148148147,0.1381172839506173,0.023148148148148147,1.0,7.24022346368715,1.0,0.019950988797439412,inf,0.8823064770932069,0.16759776536312848,1.0,0.5837988826815642
"frozenset({'police', 'saddar'})",frozenset({'amenity__police'}),0.006172839506172839,0.13194444444444445,0.006172839506172839,1.0,7.578947368421052,1.0,0.005358367626886145,inf,0.873447204968944,0.04678362573099415,1.0,0.5233918128654971
