,amenity:bank,amenity:cafe,amenity:hospital,amenity:marketplace,amenity:mosque,amenity:restaurant,amenity:school,building:residential,highway:bus_stop,historic:monument,leisure:park,natural:tree,natural:water,place:locality,shop:bakery,shop:clothes,shop:supermarket,tourism:hotel
amenity:bank,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amenity:cafe,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amenity:hospital,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amenity:marketplace,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amenity:mosque,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0
amenity:restaurant,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
amenity:school,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
building:residential,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
highway:bus_stop,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0
historic:monument,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
leisure:park,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0
natural:tree,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
natural:water,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
place:locality,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
shop:bakery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
shop:clothes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
shop:supermarket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
tourism:hotel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
