class_label,k,support,support_frac,items,items_readable
amenity:bank,3,46,1.0,amenity_bank|bank_islamabad|islamabad,"amenity_bank, bank_islamabad, islamabad"
amenity:bank,3,46,1.0,amenity_bank|bank_islamabad|tag:amenity=bank,"amenity_bank, bank_islamabad, tag:amenity=bank"
amenity:bank,3,46,1.0,amenity_bank|bank|bank_islamabad,"amenity_bank, bank, bank_islamabad"
amenity:bank,3,46,1.0,amenity_bank|bank|islamabad,"amenity_bank, bank, islamabad"
amenity:bank,3,46,1.0,amenity_bank|bank|tag:amenity=bank,"amenity_bank, bank, tag:amenity=bank"
amenity:bank,3,46,1.0,amenity_bank|islamabad|tag:amenity=bank,"amenity_bank, islamabad, tag:amenity=bank"
amenity:bank,3,46,1.0,amenity|amenity_bank|bank,"amenity, amenity_bank, bank"
amenity:bank,3,46,1.0,amenity|amenity_bank|bank_islamabad,"amenity, amenity_bank, bank_islamabad"
amenity:bank,3,46,1.0,amenity|amenity_bank|islamabad,"amenity, amenity_bank, islamabad"
amenity:bank,3,46,1.0,amenity|amenity_bank|tag:amenity=bank,"amenity, amenity_bank, tag:amenity=bank"
amenity:bank,3,46,1.0,amenity|bank_islamabad|islamabad,"amenity, bank_islamabad, islamabad"
amenity:bank,3,46,1.0,amenity|bank_islamabad|tag:amenity=bank,"amenity, bank_islamabad, tag:amenity=bank"
amenity:bank,3,46,1.0,amenity|bank|bank_islamabad,"amenity, bank, bank_islamabad"
amenity:bank,3,46,1.0,amenity|bank|islamabad,"amenity, bank, islamabad"
amenity:bank,3,46,1.0,amenity|bank|tag:amenity=bank,"amenity, bank, tag:amenity=bank"
amenity:bank,3,46,1.0,amenity|islamabad|tag:amenity=bank,"amenity, islamabad, tag:amenity=bank"
amenity:bank,3,46,1.0,bank_islamabad|islamabad|tag:amenity=bank,"bank_islamabad, islamabad, tag:amenity=bank"
amenity:bank,3,46,1.0,bank|bank_islamabad|islamabad,"bank, bank_islamabad, islamabad"
amenity:bank,3,46,1.0,bank|bank_islamabad|tag:amenity=bank,"bank, bank_islamabad, tag:amenity=bank"
amenity:bank,3,46,1.0,bank|islamabad|tag:amenity=bank,"bank, islamabad, tag:amenity=bank"
amenity:bank,3,32,0.695652,amenity_bank|bank_islamabad|آباد,"amenity_bank, bank_islamabad, آباد"
amenity:bank,3,32,0.695652,amenity_bank|bank_islamabad|اسلام,"amenity_bank, bank_islamabad, اسلام"
