k,support,support_frac,items,items_readable
3,389,0.420086,islamabad|آباد|اسلام,"islamabad, آباد, اسلام"
3,389,0.420086,islamabad|آباد|اسلام_آباد,"islamabad, آباد, اسلام_آباد"
3,389,0.420086,islamabad|اسلام|اسلام_آباد,"islamabad, اسلام, اسلام_آباد"
3,389,0.420086,آباد|اسلام|اسلام_آباد,"آباد, اسلام, اسلام_آباد"
3,263,0.284017,amenity|islamabad|آباد,"amenity, islamabad, آباد"
3,263,0.284017,amenity|islamabad|اسلام,"amenity, islamabad, اسلام"
3,263,0.284017,amenity|islamabad|اسلام_آباد,"amenity, islamabad, اسلام_آباد"
3,263,0.284017,amenity|آباد|اسلام,"amenity, آباد, اسلام"
3,263,0.284017,amenity|آباد|اسلام_آباد,"amenity, آباد, اسلام_آباد"
3,263,0.284017,amenity|اسلام|اسلام_آباد,"amenity, اسلام, اسلام_آباد"
3,147,0.158747,islamabad_اسلام|آباد|اسلام,"islamabad_اسلام, آباد, اسلام"
3,147,0.158747,islamabad_اسلام|آباد|اسلام_آباد,"islamabad_اسلام, آباد, اسلام_آباد"
3,147,0.158747,islamabad_اسلام|اسلام|اسلام_آباد,"islamabad_اسلام, اسلام, اسلام_آباد"
3,147,0.158747,islamabad|islamabad_اسلام|آباد,"islamabad, islamabad_اسلام, آباد"
3,147,0.158747,islamabad|islamabad_اسلام|اسلام,"islamabad, islamabad_اسلام, اسلام"
3,147,0.158747,islamabad|islamabad_اسلام|اسلام_آباد,"islamabad, islamabad_اسلام, اسلام_آباد"
3,136,0.146868,amenity_mosque|islamabad|mosque,"amenity_mosque, islamabad, mosque"
3,136,0.146868,amenity_mosque|islamabad|mosque_islamabad,"amenity_mosque, islamabad, mosque_islamabad"
3,136,0.146868,amenity_mosque|mosque|mosque_islamabad,"amenity_mosque, mosque, mosque_islamabad"
3,136,0.146868,amenity|amenity_mosque|islamabad,"amenity, amenity_mosque, islamabad"
3,136,0.146868,amenity|amenity_mosque|mosque,"amenity, amenity_mosque, mosque"
3,136,0.146868,amenity|amenity_mosque|mosque_islamabad,"amenity, amenity_mosque, mosque_islamabad"
3,136,0.146868,amenity|islamabad|mosque,"amenity, islamabad, mosque"
3,136,0.146868,amenity|islamabad|mosque_islamabad,"amenity, islamabad, mosque_islamabad"
3,136,0.146868,amenity|mosque|mosque_islamabad,"amenity, mosque, mosque_islamabad"
3,136,0.146868,islamabad|mosque|mosque_islamabad,"islamabad, mosque, mosque_islamabad"
3,125,0.134989,amenity_mosque|islamabad|tag:amenity=place_of_worship,"amenity_mosque, islamabad, tag:amenity=place_of_worship"
3,125,0.134989,amenity_mosque|mosque_islamabad|tag:amenity=place_of_worship,"amenity_mosque, mosque_islamabad, tag:amenity=place_of_worship"
3,125,0.134989,amenity_mosque|mosque|tag:amenity=place_of_worship,"amenity_mosque, mosque, tag:amenity=place_of_worship"
3,125,0.134989,amenity|amenity_mosque|tag:amenity=place_of_worship,"amenity, amenity_mosque, tag:amenity=place_of_worship"
3,125,0.134989,amenity|islamabad|tag:amenity=place_of_worship,"amenity, islamabad, tag:amenity=place_of_worship"
3,125,0.134989,amenity|mosque_islamabad|tag:amenity=place_of_worship,"amenity, mosque_islamabad, tag:amenity=place_of_worship"
