item,item_id,df
10th,0,5
10th_اسلام,1,5
11a,2,2
11a_اسلام,3,2
7th,4,4
7th_station,5,2
aabpara,6,3
abu,7,3
abu_huraira,8,2
adda,9,2
adnan,10,2
adnan_market,11,2
afandi,12,2
afandi_اسلام,13,2
agha,14,4
agha_khan,15,4
ahle,16,3
ahle_hadees,17,2
ahmed,18,3
ahmed_faiz,19,2
akm,20,6
akm_fazul,21,6
al,22,10
al-fateh,23,2
al-habib,24,3
al-rehman,25,2
ali,26,7
ali_afandi,27,2
aman,28,2
aman_bargah,29,2
amenity,30,461
amenity_bank,31,46
amenity_cafe,32,60
amenity_hospital,33,45
amenity_mosque,34,136
amenity_restaurant,35,74
amenity_school,36,100
area,37,2
ayub,38,2
baba,39,3
baba_اسلام,40,2
bahria,41,2
bahria_foundation,42,2
bahu,43,2
bahu_اسلام,44,2
bake,45,2
bakers,46,17
bakers_shop,47,13
bakery,48,36
bakery_islamabad,49,36
bakery_shop,50,4
bank,51,46
bank_amenity,52,8
bank_islamabad,53,46
bank_pakistan,54,3
bargah,55,2
bazaar,56,2
bazar,57,2
beaconhouse,58,3
beaconhouse_margalla,59,2
best,60,2
bhitai,61,8
bhitai_اسلام,62,8
bilal,63,3
bin,64,3
bismillah,65,4
blue,66,2
blue_area,67,2
bolan,68,2
boys,69,7
branch,70,3
branch_amenity,71,2
building,72,24
building_residential,73,24
buksh,74,3
bus,75,70
bus_station,76,4
bus_stop,77,70
bus_terminal,78,10
cafe,79,65
cafe_amenity,80,20
cafe_islamabad,81,60
café,82,4
café_amenity,83,3
campus,84,2
campus_amenity,85,2
capital,86,3
carry,87,4
carry_shop,88,3
cash,89,4
cash_carry,90,4
cda,91,4
center,92,5
center_amenity,93,2
center_shop,94,2
centre,95,12
centre_amenity,96,7
chak,97,2
chak_shehzad,98,2
chaman,99,4
chaman_station,100,2
children,101,3
children_park,102,2
chowk,103,2
city,104,9
city_school,105,2
clinic,106,3
cloth,107,3
cloth_house,108,2
clothes,109,39
clothes_islamabad,110,39
clothing,111,2
club,112,5
club_amenity,113,4
college,114,22
college_amenity,115,2
college_boys,116,2
college_girls,117,3
college_اسلام,118,11
commercial,119,3
commercial_bank,120,3
complex,121,2
constitution,122,2
constitution_اسلام,123,2
convent,124,3
convent_school,125,2
cuisine,126,2
darbar,127,3
dental,128,2
des,129,3
des_pardes,130,3
dhaba,131,2
dhaba_amenity,132,2
din,133,6
din_اسلام,134,6
east,135,5
east_g-10,136,2
education,137,2
exchange,138,3
exchange_station,139,2
eye,140,3
eye_hospital,141,3
f-6,142,8
f-62,143,2
f-6_service,144,3
f-6_اسلام,145,8
f-71,146,2
f-71_amenity,147,2
f-8,148,2
f-8_markaz,149,2
f11,150,2
f11_اسلام,151,2
f5,152,7
f5_اسلام,153,7
f7,154,4
f7_markaz,155,3
fabrics,156,2
fabrics_shop,157,2
faisal,158,2
faiz,159,2
faiz_ahmed,160,2
faiz_station,161,2
faizabad,162,5
faizabad_station,163,2
fashion,164,2
fashion_shop,165,2
fazul,166,6
fazul_haq,167,6
federal,168,18
federal_government,169,17
fg,170,3
food,171,3
foundation,172,5
foundation_metro,173,2
foundation_school,174,3
g-10,175,5
g-10_اسلام,176,3
g-11,177,26
g-11_اسلام,178,24
g-8,179,2
g-81,180,2
g-84,181,3
g-84_amenity,182,3
g-8_markaz,183,2
g-9,184,2
g-92,185,5
g-92_amenity,186,4
g10,187,2
g10_metro,188,2
g5,189,6
g5_service,190,6
g7,191,2
gali,192,21
gali_اسلام,193,18
garments,194,2
garments_shop,195,2
gelato,196,2
general,197,2
girls,198,12
girls_model,199,3
golden,200,2
gourmet,201,2
government,202,17
government_girls,203,5
government_junior,204,5
government_model,205,2
government_secondary,206,2
grace,207,2
grammar,208,3
grammar_school,209,3
grill,210,3
grill_amenity,211,3
ground,212,3
ground_station,213,2
h9,214,2
habibi,215,2
hadees,216,2
hadees_amenity,217,2
haq,218,6
haq_اسلام,219,5
hassan,220,3
hassan_ali,221,2
health,222,4
high,223,2
high_school,224,2
highway,225,2
highway_station,226,2
hilal,227,5
hilal_اسلام,228,4
historic,229,10
historic_monument,230,10
hospital,231,45
hospital_amenity,232,19
hospital_islamabad,233,45
hot,234,3
hot_spot,235,2
hotel,236,59
hotel_islamabad,237,57
hotel_one,238,3
hotel_royal,239,2
hotel_tourism,240,23
house,241,8
house_amenity,242,2
house_shop,243,2
house_tourism,244,3
huraira,245,2
i-8,246,3
i-81,247,2
i-8_markaz,248,3
ibn-e-sina,249,4
ibn-e-sina_اسلام,250,3
ibne,251,2
ibne_sina,252,2
ideas,253,2
ideas_shop,254,2
imam,255,2
inn,256,4
inn_tourism,257,4
institute,258,6
institute_health,259,2
international,260,13
international_hospital,261,4
international_islamic,262,3
iqbal,263,3
islamabad,264,926
islamabad_10th,265,5
islamabad_11a,266,2
islamabad_agha,267,4
islamabad_akm,268,6
islamabad_amenity,269,7
islamabad_bhitai,270,8
islamabad_college,271,13
islamabad_constitution,272,2
islamabad_convent,273,3
islamabad_f7,274,3
islamabad_gali,275,21
islamabad_hassan,276,2
islamabad_hilal,277,5
islamabad_i-8,278,3
islamabad_ibn-e-sina,279,3
islamabad_islamabad,280,3
islamabad_ismail,281,2
islamabad_jinnah,282,16
islamabad_johar,283,3
islamabad_kohistan,284,2
islamabad_kurram,285,4
islamabad_mangla,286,7
islamabad_model,287,16
islamabad_muhammad,288,2
islamabad_muncipal,289,2
islamabad_murree,290,5
islamabad_nazim,291,6
islamabad_no,292,2
islamabad_park,293,2
islamabad_ravi,294,2
islamabad_rehman,295,2
islamabad_rohtas,296,4
islamabad_sachal,297,18
islamabad_saddar,298,2
islamabad_sawan,299,3
islamabad_school,300,8
islamabad_service,301,33
islamabad_shabir,302,9
islamabad_shaheed-e-millat,303,2
islamabad_shop,304,3
islamabad_skyways,305,2
islamabad_sultan,306,2
islamabad_sumbal,307,2
islamabad_tipu,308,2
islamabad_اسلام,309,147
islamabad_اسٹریٹ,310,8
islamabad_جناح,311,2
islamabad_حنا,312,2
islamabad_سروس,313,4
islamabad_گلی,314,2
islamic,315,3
ismail,316,3
ismail_zabeeh,317,2
jahangir,318,2
jahangir_market,319,2
jamia,320,17
jamia_masjid,321,12
javed,322,2
javed_sweet,323,2
jinnah,324,18
jinnah_اسلام,325,16
johar,326,3
johar_اسلام,327,3
junaid,328,2
junior,329,6
junior_model,330,5
kachehri,331,2
kachehri_station,332,2
karachi,333,2
kashmir,334,2
kashmir_highway,335,2
khan,336,8
khan_اسلام,337,4
khayaban-i-johar,338,2
khayaban-i-johar_station,339,2
khyber,340,4
kitchen,341,2
kohistan,342,3
kohistan_اسلام,343,2
kurram,344,4
kurram_اسلام,345,4
leisure,346,58
leisure_park,347,58
levi,348,2
local,349,2
locality,350,6
locality_islamabad,351,6
lodges,352,2
lodges_building,353,2
ltd,354,2
madina,355,3
madina_amenity,356,2
madrassa,357,2
main,358,3
malik,359,3
mangla,360,7
mangla_اسلام,361,7
mansehra,362,2
margala,363,2
margalla,364,3
margalla_campus,365,2
markaz,366,16
markaz_amenity,367,2
markaz_islamabad,368,3
markaz_اسلام,369,8
market,370,31
market_marketbazaar,371,16
market_shop,372,11
marketbazaar,373,25
marketbazaar_islamabad,374,25
marriott,375,2
marriott_hotel,376,2
mart,377,2
mart_shop,378,2
masjid,379,47
masjid_al,380,2
masjid_amenity,381,16
masjid_rahmatulil,382,2
max,383,2
medical,384,5
medical_centre,385,4
mehal,386,2
metro,387,20
metro_bus,388,14
metro_station,389,6
model,390,32
model_college,391,5
model_school,392,23
monument,393,11
monument_historic,394,3
monument_islamabad,395,10
mosque,396,136
mosque_amenity,397,14
mosque_islamabad,398,136
muhammad,399,2
muhammad_buksh,400,2
muncipal,401,2
murree,402,5
murree_راولپنڈی,403,4
muslim,404,3
muslim_commercial,405,2
mustafa,406,2
mustafa_amenity,407,2
naan,408,6
naan_centre,409,3
national,410,5
national_institute,411,3
natural,412,98
natural_tree,413,54
natural_water,414,44
nazim,415,6
nazim_ud,416,6
new,417,5
new_quetta,418,2
nha,419,2
nha_metro,420,2
no,421,13
no_amenity,422,6
no_g-92,423,4
no_اسلام,424,2
numl,425,5
old,426,3
one,427,4
one_tourism,428,2
opf,429,2
outfitters,430,2
outlet,431,3
outlet_shop,432,2
paf,433,4
paf_hospital,434,2
pak,435,3
pakistan,436,4
pakistan_amenity,437,3
parade,438,3
parade_ground,439,3
paratha,440,2
pardes,441,3
pardes_amenity,442,3
park,443,60
park_islamabad,444,58
park_leisure,445,16
park_اسلام,446,2
parliament,447,2
parliament_lodges,448,2
peshawar,449,2
pims,450,3
pims_metro,451,2
pizza,452,2
place,453,7
place_locality,454,6
plaza,455,8
plaza_building,456,2
plaza_marketbazaar,457,3
police,458,2
police_foundation,459,2
pothohar,460,2
pothohar_station,461,2
primary,462,3
primary_school,463,2
public,464,2
public_park,465,2
punjab,466,2
quetta,467,3
rahat,468,4
rahat_bakers,469,3
rahmatulil,470,2
ravi,471,2
rehman,472,2
rehman_baba,473,2
residency,474,2
residency_tourism,475,2
residential,476,24
residential_islamabad,477,24
restaurant,478,75
restaurant_amenity,479,19
restaurant_islamabad,480,74
resturant,481,3
resturant_amenity,482,3
rohtas,483,4
rohtas_اسلام,484,2
royal,485,2
sachal,486,18
sachal_sarmast,487,18
saddar,488,2
saddar_اسلام,489,2
sarmast,490,18
sarmast_g-11,491,17
sawan,492,3
sawan_اسلام,493,3
school,494,109
school_amenity,495,30
school_boys,496,2
school_g-84,497,3
school_girls,498,3
school_islamabad,499,100
school_no,500,7
school_system,501,2
school_اسلام,502,8
sciences,503,2
second,504,2
secondary,505,4
secondary_school,506,4
secretariat,507,4
secretariat_station,508,2
serena,509,3
serena_hotel,510,3
service,511,34
service_east,512,4
service_south,513,6
service_west,514,25
shabir,515,9
shabir_sharif,516,9
shaheed,517,2
shaheed-e-millat,518,3
shaheed-e-millat_اسلام,519,2
shaheed-i-millat,520,2
shaheed-i-millat_station,521,2
sharif,522,10
sharif_اسلام,523,9
shehzad,524,2
shop,525,119
shop_bakery,526,36
shop_clothes,527,39
shop_supermarket,528,42
sina,529,2
sina_station,530,2
sitara,531,4
sitara_market,532,2
skyways,533,2
skyways_راولپنڈی,534,2
south,535,6
south_f-6,536,3
south_h9,537,2
spot,538,3
spot_amenity,539,2
square,540,2
stall,541,3
stall_amenity,542,2
station,543,36
station_bus,544,34
stock,545,3
stock_exchange,546,3
stop,547,71
stop_bus,548,6
stop_islamabad,549,70
store,550,9
store_shop,551,8
sultan,552,4
sultan_bahu,553,2
sultan_اسلام,554,2
sumbal,555,2
sumbal_اسلام,556,2
sunday,557,2
sunday_bazaar,558,2
super,559,3
super_market,560,2
supermarket,561,42
supermarket_islamabad,562,42
sweet,563,2
sweet_bakers,564,2
sweets,565,4
sweets_shop,566,3
system,567,3
system_amenity,568,3
tag:amenity=bank,569,46
tag:amenity=cafe,570,60
tag:amenity=fast_food,571,1
tag:amenity=hospital,572,45
tag:amenity=marketplace,573,25
tag:amenity=place_of_worship,574,125
tag:amenity=restaurant,575,74
tag:amenity=school,576,100
tag:building=house,577,1
tag:building=mosque,578,24
tag:building=no,579,1
tag:building=residential,580,24
tag:building=yes,581,76
tag:highway=bus_stop,582,70
tag:historic=monument,583,10
tag:leisure=park,584,58
tag:natural=tree,585,54
tag:natural=water,586,44
tag:place=locality,587,6
"tag:shop=G-10/3, Islamabad",588,1
tag:shop=bakery,589,36
tag:shop=clothes,590,39
tag:shop=coffee,591,5
tag:shop=supermarket,592,42
tag:tourism=attraction,593,1
tag:tourism=hotel,594,58
tag:tourism=viewpoint,595,1
tandoori,596,2
taqwa,597,2
tehzeeb,598,6
tehzeeb_bakers,599,6
terminal,600,11
tipu,601,2
tipu_sultan,602,2
tourism,603,57
tourism_hotel,604,57
tree,605,54
tree_islamabad,606,54
ud,607,6
ud_din,608,6
ul,609,2
university,610,3
university_islamabad,611,2
usman,612,2
utility,613,4
utility_store,614,3
view,615,3
view_hotel,616,2
wagon,617,3
wagon_stop,618,2
water,619,44
water_islamabad,620,44
west,621,26
west_f-6,622,8
west_f11,623,2
west_f5,624,7
west_g-11,625,6
west_g5,626,6
zabeeh,627,2
zabeeh_اسلام,628,2
zeeshan,629,2
آباد,630,390
آف,631,2
آف_پاکستان,632,2
اسلام,633,389
اسلام_آباد,634,389
اسٹریٹ,635,8
اسٹریٹ_اسلام,636,8
اسٹینڈرڈ,637,6
اسٹینڈرڈ_چارٹرڈ,638,6
اسکول,639,2
اسکول_amenity,640,2
الائیڈ,641,4
الائیڈ_بینک,642,4
ایل,643,2
ایل_پاکستان,644,2
ایم,645,2
ایونیو,646,2
ایچ,647,2
ایچ_بی,648,2
باغ,649,2
باغ_leisure,650,2
بی,651,3
بی_ایل,652,2
بینک,653,17
بینک_amenity,654,10
بینک_آف,655,2
بینک_لمیٹڈ,656,5
جناح,657,4
جناح_ایونیو,658,2
جناح_پارک,659,2
جی-11,660,4
جی-11_اسلام,661,4
جینز,662,5
جینز_amenity,663,5
حنا,664,2
