scope,token,tag,count_pair,count_token,count_tag,support,conf_tag_given_token,conf_token_given_tag,lift
GLOBAL,جینز_amenity,tag:shop=coffee,5,5,5,0.0054,1.0,1.0,185.2
GLOBAL,جینز,tag:shop=coffee,5,5,5,0.0054,1.0,1.0,185.2
GLOBAL,گلوریا_جینز,tag:shop=coffee,5,5,5,0.0054,1.0,1.0,185.2
GLOBAL,گلوریا,tag:shop=coffee,5,5,5,0.0054,1.0,1.0,185.2
GLOBAL,place_locality,tag:place=locality,6,6,6,0.006479,1.0,1.0,154.333333
GLOBAL,locality_islamabad,tag:place=locality,6,6,6,0.006479,1.0,1.0,154.333333
GLOBAL,locality,tag:place=locality,6,6,6,0.006479,1.0,1.0,154.333333
GLOBAL,place,tag:place=locality,6,7,6,0.006479,0.857143,1.0,132.285714
GLOBAL,historic,tag:historic=monument,10,10,10,0.010799,1.0,1.0,92.6
GLOBAL,monument_islamabad,tag:historic=monument,10,10,10,0.010799,1.0,1.0,92.6
GLOBAL,historic_monument,tag:historic=monument,10,10,10,0.010799,1.0,1.0,92.6
GLOBAL,monument,tag:historic=monument,10,11,10,0.010799,0.909091,1.0,84.181818
GLOBAL,residential_islamabad,tag:building=residential,24,24,24,0.025918,1.0,1.0,38.583333
GLOBAL,residential,tag:building=residential,24,24,24,0.025918,1.0,1.0,38.583333
GLOBAL,building,tag:building=residential,24,24,24,0.025918,1.0,1.0,38.583333
GLOBAL,building_residential,tag:building=residential,24,24,24,0.025918,1.0,1.0,38.583333
GLOBAL,marketbazaar_islamabad,tag:amenity=marketplace,25,25,25,0.026998,1.0,1.0,37.04
GLOBAL,marketbazaar,tag:amenity=marketplace,25,25,25,0.026998,1.0,1.0,37.04
GLOBAL,market_marketbazaar,tag:amenity=marketplace,16,16,25,0.017279,1.0,0.64,37.04
GLOBAL,bakery,tag:shop=bakery,36,36,36,0.038877,1.0,1.0,25.722222
GLOBAL,bakery_islamabad,tag:shop=bakery,36,36,36,0.038877,1.0,1.0,25.722222
GLOBAL,shop_bakery,tag:shop=bakery,36,36,36,0.038877,1.0,1.0,25.722222
GLOBAL,bakers,tag:shop=bakery,17,17,36,0.018359,1.0,0.472222,25.722222
GLOBAL,bakers_shop,tag:shop=bakery,13,13,36,0.014039,1.0,0.361111,25.722222
GLOBAL,tehzeeb_bakers,tag:shop=bakery,6,6,36,0.006479,1.0,0.166667,25.722222
GLOBAL,tehzeeb,tag:shop=bakery,6,6,36,0.006479,1.0,0.166667,25.722222
GLOBAL,clothes_islamabad,tag:shop=clothes,39,39,39,0.042117,1.0,1.0,23.74359
GLOBAL,clothes,tag:shop=clothes,39,39,39,0.042117,1.0,1.0,23.74359
GLOBAL,shop_clothes,tag:shop=clothes,39,39,39,0.042117,1.0,1.0,23.74359
GLOBAL,supermarket,tag:shop=supermarket,42,42,42,0.045356,1.0,1.0,22.047619
GLOBAL,shop_supermarket,tag:shop=supermarket,42,42,42,0.045356,1.0,1.0,22.047619
GLOBAL,supermarket_islamabad,tag:shop=supermarket,42,42,42,0.045356,1.0,1.0,22.047619
GLOBAL,market_shop,tag:shop=supermarket,11,11,42,0.011879,1.0,0.261905,22.047619
GLOBAL,water,tag:natural=water,44,44,44,0.047516,1.0,1.0,21.045455
GLOBAL,natural_water,tag:natural=water,44,44,44,0.047516,1.0,1.0,21.045455
GLOBAL,water_islamabad,tag:natural=water,44,44,44,0.047516,1.0,1.0,21.045455
GLOBAL,hospital_islamabad,tag:amenity=hospital,45,45,45,0.048596,1.0,1.0,20.577778
GLOBAL,hospital,tag:amenity=hospital,45,45,45,0.048596,1.0,1.0,20.577778
GLOBAL,amenity_hospital,tag:amenity=hospital,45,45,45,0.048596,1.0,1.0,20.577778
GLOBAL,hospital_amenity,tag:amenity=hospital,19,19,45,0.020518,1.0,0.422222,20.577778
GLOBAL,medical,tag:amenity=hospital,5,5,45,0.0054,1.0,0.111111,20.577778
GLOBAL,amenity_bank,tag:amenity=bank,46,46,46,0.049676,1.0,1.0,20.130435
GLOBAL,bank,tag:amenity=bank,46,46,46,0.049676,1.0,1.0,20.130435
GLOBAL,bank_islamabad,tag:amenity=bank,46,46,46,0.049676,1.0,1.0,20.130435
GLOBAL,بینک,tag:amenity=bank,17,17,46,0.018359,1.0,0.369565,20.130435
GLOBAL,بینک_amenity,tag:amenity=bank,10,10,46,0.010799,1.0,0.217391,20.130435
GLOBAL,bank_amenity,tag:amenity=bank,8,8,46,0.008639,1.0,0.173913,20.130435
GLOBAL,چارٹرڈ_amenity,tag:amenity=bank,6,6,46,0.006479,1.0,0.130435,20.130435
GLOBAL,اسٹینڈرڈ,tag:amenity=bank,6,6,46,0.006479,1.0,0.130435,20.130435
GLOBAL,چارٹرڈ,tag:amenity=bank,6,6,46,0.006479,1.0,0.130435,20.130435
GLOBAL,اسٹینڈرڈ_چارٹرڈ,tag:amenity=bank,6,6,46,0.006479,1.0,0.130435,20.130435
GLOBAL,بینک_لمیٹڈ,tag:amenity=bank,5,5,46,0.0054,1.0,0.108696,20.130435
GLOBAL,لمیٹڈ_amenity,tag:amenity=bank,5,5,46,0.0054,1.0,0.108696,20.130435
GLOBAL,لمیٹڈ,tag:amenity=bank,5,5,46,0.0054,1.0,0.108696,20.130435
GLOBAL,عسکری,tag:amenity=bank,5,5,46,0.0054,1.0,0.108696,20.130435
GLOBAL,عسکری_بینک,tag:amenity=bank,5,5,46,0.0054,1.0,0.108696,20.130435
GLOBAL,market,tag:amenity=marketplace,16,31,25,0.017279,0.516129,0.64,19.117419
GLOBAL,tree,tag:natural=tree,54,54,54,0.058315,1.0,1.0,17.148148
GLOBAL,tree_islamabad,tag:natural=tree,54,54,54,0.058315,1.0,1.0,17.148148
GLOBAL,natural_tree,tag:natural=tree,54,54,54,0.058315,1.0,1.0,17.148148
GLOBAL,institute,tag:amenity=hospital,5,6,45,0.0054,0.833333,0.111111,17.148148
GLOBAL,store_shop,tag:shop=supermarket,6,8,42,0.006479,0.75,0.142857,16.535714
GLOBAL,leisure_park,tag:leisure=park,58,58,58,0.062635,1.0,1.0,15.965517
GLOBAL,park_islamabad,tag:leisure=park,58,58,58,0.062635,1.0,1.0,15.965517
GLOBAL,leisure,tag:leisure=park,58,58,58,0.062635,1.0,1.0,15.965517
GLOBAL,hotel_islamabad,tag:tourism=hotel,57,57,58,0.061555,1.0,0.982759,15.965517
GLOBAL,tourism,tag:tourism=hotel,57,57,58,0.061555,1.0,0.982759,15.965517
GLOBAL,tourism_hotel,tag:tourism=hotel,57,57,58,0.061555,1.0,0.982759,15.965517
GLOBAL,hotel_tourism,tag:tourism=hotel,23,23,58,0.024838,1.0,0.396552,15.965517
GLOBAL,park_leisure,tag:leisure=park,16,16,58,0.017279,1.0,0.275862,15.965517
GLOBAL,amenity_cafe,tag:amenity=cafe,60,60,60,0.064795,1.0,1.0,15.433333
GLOBAL,cafe_islamabad,tag:amenity=cafe,60,60,60,0.064795,1.0,1.0,15.433333
GLOBAL,جینز_amenity,tag:amenity=cafe,5,5,60,0.0054,1.0,0.083333,15.433333
GLOBAL,جینز,tag:amenity=cafe,5,5,60,0.0054,1.0,0.083333,15.433333
GLOBAL,گلوریا_جینز,tag:amenity=cafe,5,5,60,0.0054,1.0,0.083333,15.433333
GLOBAL,گلوریا,tag:amenity=cafe,5,5,60,0.0054,1.0,0.083333,15.433333
GLOBAL,park,tag:leisure=park,58,60,58,0.062635,0.966667,1.0,15.433333
GLOBAL,hotel,tag:tourism=hotel,57,59,58,0.061555,0.966102,0.982759,15.424313
GLOBAL,centre_amenity,tag:amenity=hospital,5,7,45,0.0054,0.714286,0.111111,14.698413
GLOBAL,store,tag:shop=supermarket,6,9,42,0.006479,0.666667,0.142857,14.698413
GLOBAL,cafe,tag:amenity=cafe,60,65,60,0.064795,0.923077,1.0,14.246154
GLOBAL,cafe_amenity,tag:amenity=cafe,18,20,60,0.019438,0.9,0.3,13.89
GLOBAL,راولپنڈی,tag:tourism=hotel,6,7,58,0.006479,0.857143,0.103448,13.684729
GLOBAL,stop_islamabad,tag:highway=bus_stop,70,70,70,0.075594,1.0,1.0,13.228571
GLOBAL,bus_stop,tag:highway=bus_stop,70,70,70,0.075594,1.0,1.0,13.228571
GLOBAL,bus,tag:highway=bus_stop,70,70,70,0.075594,1.0,1.0,13.228571
GLOBAL,station,tag:highway=bus_stop,36,36,70,0.038877,1.0,0.514286,13.228571
GLOBAL,station_bus,tag:highway=bus_stop,34,34,70,0.036717,1.0,0.485714,13.228571
GLOBAL,metro,tag:highway=bus_stop,20,20,70,0.021598,1.0,0.285714,13.228571
GLOBAL,metro_bus,tag:highway=bus_stop,14,14,70,0.015119,1.0,0.2,13.228571
GLOBAL,terminal,tag:highway=bus_stop,11,11,70,0.011879,1.0,0.157143,13.228571
GLOBAL,bus_terminal,tag:highway=bus_stop,10,10,70,0.010799,1.0,0.142857,13.228571
GLOBAL,stop_bus,tag:highway=bus_stop,6,6,70,0.006479,1.0,0.085714,13.228571
GLOBAL,metro_station,tag:highway=bus_stop,6,6,70,0.006479,1.0,0.085714,13.228571
GLOBAL,faizabad,tag:highway=bus_stop,5,5,70,0.0054,1.0,0.071429,13.228571
GLOBAL,stop,tag:highway=bus_stop,70,71,70,0.075594,0.985915,1.0,13.042254
GLOBAL,amenity_restaurant,tag:amenity=restaurant,74,74,74,0.079914,1.0,1.0,12.513514
GLOBAL,restaurant_islamabad,tag:amenity=restaurant,74,74,74,0.079914,1.0,1.0,12.513514
GLOBAL,restaurant,tag:amenity=restaurant,74,75,74,0.079914,0.986667,1.0,12.346667
GLOBAL,restaurant_amenity,tag:amenity=restaurant,18,19,74,0.019438,0.947368,0.243243,11.854908
GLOBAL,international,tag:amenity=hospital,7,13,45,0.007559,0.538462,0.155556,11.080342
GLOBAL,sarmast_g-11,tag:amenity=restaurant,14,17,74,0.015119,0.823529,0.189189,10.305246
GLOBAL,centre,tag:amenity=hospital,6,12,45,0.006479,0.5,0.133333,10.288889
GLOBAL,sarmast,tag:amenity=restaurant,14,18,74,0.015119,0.777778,0.189189,9.732733
GLOBAL,islamabad_sachal,tag:amenity=restaurant,14,18,74,0.015119,0.777778,0.189189,9.732733
GLOBAL,sachal_sarmast,tag:amenity=restaurant,14,18,74,0.015119,0.777778,0.189189,9.732733
GLOBAL,sachal,tag:amenity=restaurant,14,18,74,0.015119,0.777778,0.189189,9.732733
GLOBAL,natural,tag:natural=tree,54,98,54,0.058315,0.55102,1.0,9.44898
GLOBAL,natural,tag:natural=water,44,98,44,0.047516,0.44898,1.0,9.44898
GLOBAL,school_islamabad,tag:amenity=school,100,100,100,0.107991,1.0,1.0,9.26
GLOBAL,amenity_school,tag:amenity=school,100,100,100,0.107991,1.0,1.0,9.26
GLOBAL,model,tag:amenity=school,32,32,100,0.034557,1.0,0.32,9.26
GLOBAL,school_amenity,tag:amenity=school,30,30,100,0.032397,1.0,0.3,9.26
GLOBAL,model_school,tag:amenity=school,23,23,100,0.024838,1.0,0.23,9.26
GLOBAL,islamabad_model,tag:amenity=school,16,16,100,0.017279,1.0,0.16,9.26
GLOBAL,girls,tag:amenity=school,12,12,100,0.012959,1.0,0.12,9.26
GLOBAL,boys,tag:amenity=school,7,7,100,0.007559,1.0,0.07,9.26
GLOBAL,school_no,tag:amenity=school,7,7,100,0.007559,1.0,0.07,9.26
GLOBAL,junior,tag:amenity=school,6,6,100,0.006479,1.0,0.06,9.26
GLOBAL,no_amenity,tag:amenity=school,6,6,100,0.006479,1.0,0.06,9.26
GLOBAL,junior_model,tag:amenity=school,5,5,100,0.0054,1.0,0.05,9.26
GLOBAL,government_girls,tag:amenity=school,5,5,100,0.0054,1.0,0.05,9.26
GLOBAL,government_junior,tag:amenity=school,5,5,100,0.0054,1.0,0.05,9.26
GLOBAL,model_college,tag:amenity=school,5,5,100,0.0054,1.0,0.05,9.26
GLOBAL,islamabad_college,tag:shop=clothes,5,13,39,0.0054,0.384615,0.128205,9.13215
GLOBAL,g-11_اسلام,tag:amenity=restaurant,17,24,74,0.018359,0.708333,0.22973,8.863739
GLOBAL,islamabad_jinnah,tag:amenity=bank,7,16,46,0.007559,0.4375,0.152174,8.807065
GLOBAL,jinnah_اسلام,tag:amenity=bank,7,16,46,0.007559,0.4375,0.152174,8.807065
GLOBAL,government,tag:amenity=school,16,17,100,0.017279,0.941176,0.16,8.715294
GLOBAL,federal_government,tag:amenity=school,16,17,100,0.017279,0.941176,0.16,8.715294
GLOBAL,school,tag:amenity=school,100,109,100,0.107991,0.917431,1.0,8.495413
GLOBAL,sharif_اسلام,tag:amenity=restaurant,6,9,74,0.006479,0.666667,0.081081,8.342342
GLOBAL,shabir,tag:amenity=restaurant,6,9,74,0.006479,0.666667,0.081081,8.342342
GLOBAL,shabir_sharif,tag:amenity=restaurant,6,9,74,0.006479,0.666667,0.081081,8.342342
GLOBAL,islamabad_shabir,tag:amenity=restaurant,6,9,74,0.006479,0.666667,0.081081,8.342342
GLOBAL,federal,tag:amenity=school,16,18,100,0.017279,0.888889,0.16,8.231111
GLOBAL,g-11,tag:amenity=restaurant,17,26,74,0.018359,0.653846,0.22973,8.181913
GLOBAL,jinnah,tag:amenity=bank,7,18,46,0.007559,0.388889,0.152174,7.828502
GLOBAL,market,tag:shop=supermarket,11,31,42,0.011879,0.354839,0.261905,7.823349
GLOBAL,shop,tag:shop=supermarket,42,119,42,0.045356,0.352941,1.0,7.781513
GLOBAL,sharif,tag:amenity=restaurant,6,10,74,0.006479,0.6,0.081081,7.508108
GLOBAL,مسجد,tag:amenity=place_of_worship,14,14,125,0.015119,1.0,0.112,7.408
GLOBAL,jamia_masjid,tag:amenity=place_of_worship,12,12,125,0.012959,1.0,0.096,7.408
GLOBAL,مسجد_amenity,tag:amenity=place_of_worship,5,5,125,0.0054,1.0,0.04,7.408
GLOBAL,no,tag:amenity=school,10,13,100,0.010799,0.769231,0.1,7.123077
GLOBAL,masjid,tag:amenity=place_of_worship,45,47,125,0.048596,0.957447,0.36,7.092766
GLOBAL,jamia,tag:amenity=place_of_worship,16,17,125,0.017279,0.941176,0.128,6.972235
GLOBAL,masjid_amenity,tag:amenity=place_of_worship,15,16,125,0.016199,0.9375,0.12,6.945
GLOBAL,mosque,tag:amenity=place_of_worship,125,136,125,0.134989,0.919118,1.0,6.808824
GLOBAL,amenity_mosque,tag:amenity=place_of_worship,125,136,125,0.134989,0.919118,1.0,6.808824
GLOBAL,mosque_islamabad,tag:amenity=place_of_worship,125,136,125,0.134989,0.919118,1.0,6.808824
GLOBAL,islamabad_amenity,tag:amenity=school,5,7,100,0.0054,0.714286,0.05,6.614286
GLOBAL,service_west,tag:tourism=hotel,10,25,58,0.010799,0.4,0.172414,6.386207
GLOBAL,mosque_amenity,tag:amenity=place_of_worship,12,14,125,0.012959,0.857143,0.096,6.349714
GLOBAL,west,tag:tourism=hotel,10,26,58,0.010799,0.384615,0.172414,6.140584
GLOBAL,mosque_amenity,tag:building=yes,7,14,76,0.007559,0.5,0.092105,6.092105
GLOBAL,international,tag:amenity=school,5,13,100,0.0054,0.384615,0.05,3.561538
GLOBAL,college,tag:amenity=school,8,22,100,0.008639,0.363636,0.08,3.367273
