class_label,type,item,count,frac
amenity:bank,token,amenity_bank,46,1.0
amenity:bank,token,amenity,46,1.0
amenity:bank,token,islamabad,46,1.0
amenity:bank,token,bank_islamabad,46,1.0
amenity:bank,token,bank,46,1.0
amenity:bank,token,اسلام_آباد,32,0.695652
amenity:bank,token,اسلام,32,0.695652
amenity:bank,token,آباد,32,0.695652
amenity:bank,token,بینک,17,0.369565
amenity:bank,token,بینک_amenity,10,0.217391
amenity:bank,token,bank_amenity,8,0.173913
amenity:bank,token,islamabad_jinnah,7,0.152174
amenity:bank,token,jinnah_اسلام,7,0.152174
amenity:bank,token,jinnah,7,0.152174
amenity:bank,token,islamabad_اسلام,7,0.152174
amenity:bank,token,چارٹرڈ_amenity,6,0.130435
amenity:bank,token,اسٹینڈرڈ,6,0.130435
amenity:bank,token,چارٹرڈ,6,0.130435
amenity:bank,token,اسٹینڈرڈ_چارٹرڈ,6,0.130435
amenity:bank,token,بینک_لمیٹڈ,5,0.108696
amenity:bank,token,لمیٹڈ_amenity,5,0.108696
amenity:bank,token,لمیٹڈ,5,0.108696
amenity:bank,token,عسکری,5,0.108696
amenity:bank,token,عسکری_بینک,5,0.108696
amenity:bank,token,kurram_اسلام,4,0.086957
amenity:bank,token,kurram,4,0.086957
amenity:bank,token,islamabad_kurram,4,0.086957
amenity:bank,token,الائیڈ,4,0.086957
amenity:bank,token,الائیڈ_بینک,4,0.086957
amenity:bank,token,پاکستان_amenity,4,0.086957
amenity:bank,token,پاکستان,4,0.086957
amenity:bank,token,pakistan_amenity,3,0.065217
amenity:bank,token,pakistan,3,0.065217
amenity:bank,token,bank_pakistan,3,0.065217
amenity:bank,token,markaz,3,0.065217
amenity:bank,token,commercial_bank,3,0.065217
amenity:bank,token,commercial,3,0.065217
amenity:bank,token,islamabad_school,3,0.065217
amenity:bank,token,بی,3,0.065217
amenity:bank,token,school,3,0.065217
amenity:bank,tag,tag:amenity=bank,46,1.0
amenity:bank,tag,tag:building=yes,5,0.108696
amenity:cafe,token,amenity,60,1.0
amenity:cafe,token,amenity_cafe,60,1.0
amenity:cafe,token,islamabad,60,1.0
amenity:cafe,token,cafe,60,1.0
amenity:cafe,token,cafe_islamabad,60,1.0
amenity:cafe,token,اسلام_آباد,37,0.616667
amenity:cafe,token,اسلام,37,0.616667
amenity:cafe,token,آباد,37,0.616667
amenity:cafe,token,cafe_amenity,18,0.3
amenity:cafe,token,islamabad_اسلام,16,0.266667
amenity:cafe,token,جینز,5,0.083333
amenity:cafe,token,جینز_amenity,5,0.083333
amenity:cafe,token,گلوریا_جینز,5,0.083333
amenity:cafe,token,گلوریا,5,0.083333
amenity:cafe,token,café,4,0.066667
amenity:cafe,token,stall,3,0.05
amenity:cafe,token,south_f-6,3,0.05
amenity:cafe,token,f-6,3,0.05
amenity:cafe,token,west,3,0.05
amenity:cafe,token,f-6_service,3,0.05
amenity:cafe,token,south,3,0.05
amenity:cafe,token,service_west,3,0.05
amenity:cafe,token,islamabad_service,3,0.05
amenity:cafe,token,service_south,3,0.05
amenity:cafe,token,west_f-6,3,0.05
amenity:cafe,token,f-6_اسلام,3,0.05
amenity:cafe,token,service,3,0.05
amenity:cafe,token,café_amenity,3,0.05
amenity:cafe,token,numl,3,0.05
amenity:cafe,token,spot,3,0.05
amenity:cafe,token,school,2,0.033333
amenity:cafe,token,islamabad_johar,2,0.033333
amenity:cafe,token,johar_اسلام,2,0.033333
amenity:cafe,token,johar,2,0.033333
amenity:cafe,token,club,2,0.033333
amenity:cafe,token,market,2,0.033333
amenity:cafe,token,stall_amenity,2,0.033333
amenity:cafe,token,ali_afandi,2,0.033333
amenity:cafe,token,islamabad_hassan,2,0.033333
amenity:cafe,token,ali,2,0.033333
amenity:cafe,tag,tag:amenity=cafe,60,1.0
amenity:cafe,tag,tag:building=yes,10,0.166667
amenity:cafe,tag,tag:shop=coffee,5,0.083333
amenity:hospital,token,amenity,45,1.0
amenity:hospital,token,hospital_islamabad,45,1.0
amenity:hospital,token,islamabad,45,1.0
amenity:hospital,token,hospital,45,1.0
amenity:hospital,token,amenity_hospital,45,1.0
amenity:hospital,token,اسلام_آباد,27,0.6
amenity:hospital,token,اسلام,27,0.6
amenity:hospital,token,آباد,27,0.6
amenity:hospital,token,hospital_amenity,19,0.422222
amenity:hospital,token,international,7,0.155556
amenity:hospital,token,islamabad_اسلام,7,0.155556
amenity:hospital,token,centre,6,0.133333
amenity:hospital,token,medical,5,0.111111
amenity:hospital,token,centre_amenity,5,0.111111
amenity:hospital,token,institute,5,0.111111
amenity:hospital,token,international_hospital,4,0.088889
amenity:hospital,token,islamabad_service,4,0.088889
amenity:hospital,token,service,4,0.088889
amenity:hospital,token,medical_centre,4,0.088889
amenity:hospital,token,health,4,0.088889
amenity:hospital,token,eye_hospital,3,0.066667
amenity:hospital,token,eye,3,0.066667
amenity:hospital,token,clinic,3,0.066667
amenity:hospital,token,national_institute,3,0.066667
amenity:hospital,token,national,3,0.066667
amenity:hospital,token,ہسپتال,3,0.066667
amenity:hospital,token,markaz,2,0.044444
amenity:hospital,token,markaz_amenity,2,0.044444
amenity:hospital,token,service_east,2,0.044444
amenity:hospital,token,east,2,0.044444
amenity:hospital,token,ali,2,0.044444
amenity:hospital,token,kohistan,2,0.044444
amenity:hospital,token,sciences,2,0.044444
amenity:hospital,token,institute_health,2,0.044444
amenity:hospital,token,dental,2,0.044444
amenity:hospital,token,center_amenity,2,0.044444
amenity:hospital,token,center,2,0.044444
amenity:hospital,token,islamabad_jinnah,2,0.044444
amenity:hospital,token,jinnah_اسلام,2,0.044444
amenity:hospital,token,jinnah,2,0.044444
amenity:hospital,tag,tag:amenity=hospital,45,1.0
amenity:hospital,tag,tag:building=yes,1,0.022222
amenity:marketplace,token,marketbazaar_islamabad,25,1.0
amenity:marketplace,token,islamabad,25,1.0
amenity:marketplace,token,marketbazaar,25,1.0
amenity:marketplace,token,market,16,0.64
amenity:marketplace,token,market_marketbazaar,16,0.64
