osm_id,osm_type,primary_key,primary_value,name,addr_full,lat,lon,all_tags_json
237459304,node,amenity,bank,City Bank,,33.684909,72.9887772,"{""amenity"": ""bank"", ""atm"": ""yes"", ""is_in"": ""F-11 Markaz, F-11, Islamabad"", ""name"": ""City Bank""}"
237492791,node,amenity,bank,Saudi Pak Commercial Bank,"Hilal Road, اسلام آباد",33.6838147,72.9868747,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Hilal Road"", ""amenity"": ""bank"", ""atm"": ""yes"", ""name"": ""Saudi Pak Commercial Bank""}"
61146691,node,amenity,bank,United Bank Ltd,"Street 54, اسلام آباد",33.6960411,73.0118772,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 54"", ""amenity"": ""bank"", ""atm"": ""yes"", ""name"": ""United Bank Ltd""}"
212538228,node,amenity,bank,اسٹینڈرڈ چارٹرڈ,"Hilal Road, اسلام آباد",33.683766,72.986826,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Hilal Road"", ""amenity"": ""bank"", ""atm"": ""yes"", ""brand"": ""اسٹینڈرڈ چارٹرڈ"", ""brand:ur"": ""اسٹینڈرڈ چارٹرڈ"", ""brand:website"": ""https://www.sc.com/pk/ur/"", ""brand:wikidata"": ""Q7598200"", ""brand:wikipedia"": ""ur:سٹینڈرڈ چارٹرڈ پاکستان"", ""brand:wikipedia:ur"": ""سٹینڈرڈ چارٹرڈ پاکستان"", ""long_name"": ""اسٹینڈرڈ چارٹرڈ پاکستان"", ""long_name:ur"": ""اسٹینڈرڈ چارٹرڈ پاکستان"", ""name"": ""اسٹینڈرڈ چارٹرڈ"", ""name:en"": ""Standard Chartered"", ""name:ur"": ""اسٹینڈرڈ چارٹرڈ"", ""operator"": ""اسٹینڈرڈ چارٹرڈ"", ""operator:ur"": ""اسٹینڈرڈ چارٹرڈ"", ""operator:website"": ""https://www.sc.com/pk/ur/"", ""operator:wikidata"": ""Q7598200"", ""operator:wikipedia"": ""ur:سٹینڈرڈ چارٹرڈ پاکستان"", ""operator:wikipedia:ur"": ""سٹینڈرڈ چارٹرڈ پاکستان"", ""short_name"": ""ایس سی بی"", ""short_name:ur"": ""ایس سی بی""}"
234511823,node,amenity,bank,اسٹینڈرڈ چارٹرڈ,,33.6966838,73.0113365,"{""amenity"": ""bank"", ""atm"": ""yes"", ""brand"": ""اسٹینڈرڈ چارٹرڈ"", ""brand:ur"": ""اسٹینڈرڈ چارٹرڈ"", ""brand:website"": ""https://www.sc.com/pk/ur/"", ""brand:wikidata"": ""Q7598200"", ""brand:wikipedia"": ""ur:سٹینڈرڈ چارٹرڈ پاکستان"", ""brand:wikipedia:ur"": ""سٹینڈرڈ چارٹرڈ پاکستان"", ""long_name"": ""اسٹینڈرڈ چارٹرڈ پاکستان"", ""long_name:ur"": ""اسٹینڈرڈ چارٹرڈ پاکستان"", ""name"": ""اسٹینڈرڈ چارٹرڈ"", ""name:en"": ""Standard Chartered"", ""name:ur"": ""اسٹینڈرڈ چارٹرڈ"", ""operator"": ""اسٹینڈرڈ چارٹرڈ"", ""operator:ur"": ""اسٹینڈرڈ چارٹرڈ"", ""operator:website"": ""https://www.sc.com/pk/ur/"", ""operator:wikidata"": ""Q7598200"", ""operator:wikipedia"": ""ur:سٹینڈرڈ چارٹرڈ پاکستان"", ""operator:wikipedia:ur"": ""سٹینڈرڈ چارٹرڈ پاکستان"", ""short_name"": ""ایس سی بی"", ""short_name:ur"": ""ایس سی بی""}"
61146673,node,amenity,bank,الائیڈ بینک لمیٹڈ,"Street 65, اسلام آباد",33.6976525,73.0105887,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 65"", ""amenity"": ""bank"", ""atm"": ""yes"", ""brand"": ""الائیڈ بینک لمیٹڈ"", ""brand:ar"": ""بنك الحلفاء المحدود"", ""brand:en"": ""Allied Bank Limited"", ""brand:ur"": ""الائیڈ بینک لمیٹڈ"", ""brand:website"": ""https://www.abl.com/?lang=ur"", ""brand:wikidata"": ""Q4732553"", ""brand:wikipedia"": ""ur:الائیڈ بینک لمیٹڈ"", ""brand:wikipedia:ar"": ""بنك الحلفاء المحدود"", ""brand:wikipedia:ur"": ""الائیڈ بینک لمیٹڈ"", ""name"": ""الائیڈ بینک لمیٹڈ"", ""name:ar"": ""بنك الحلفاء المحدود"", ""name:en"": ""ABL"", ""name:ur"": ""الائیڈ بینک لمیٹڈ""}"
61146664,node,amenity,bank,عسکری بینک,"Street 65, اسلام آباد",33.698086,73.0112954,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 65"", ""amenity"": ""bank"", ""atm"": ""yes"", ""brand"": ""عسکری بینک"", ""brand:ar"": ""بنك العسكري"", ""brand:en"": ""Askari Bank"", ""brand:ur"": ""عسکری بینک"", ""brand:website"": ""https://askaribank.com/urdu/?lang=ur"", ""brand:wikidata"": ""Q4807137"", ""brand:wikipedia"": ""ur:عسکری بینک"", ""brand:wikipedia:ur"": ""عسکری بینک"", ""name"": ""عسکری بینک"", ""name:ar"": ""بنك العسكري"", ""name:en"": ""Askari Bank"", ""name:ur"": ""عسکری بینک""}"
237495339,node,amenity,bank,عسکری بینک,,33.6843984,72.9860121,"{""amenity"": ""bank"", ""atm"": ""yes"", ""brand"": ""عسکری بینک"", ""brand:ar"": ""بنك العسكري"", ""brand:en"": ""Askari Bank"", ""brand:ur"": ""عسکری بینک"", ""brand:website"": ""https://askaribank.com/urdu/?lang=ur"", ""brand:wikidata"": ""Q4807137"", ""brand:wikipedia"": ""ur:عسکری بینک"", ""brand:wikipedia:ur"": ""عسکری بینک"", ""name"": ""عسکری بینک"", ""name:ar"": ""بنك العسكري"", ""name:en"": ""Askari Bank"", ""name:ur"": ""عسکری بینک""}"
659730873,node,amenity,cafe,Howdy,"Street 3, اسلام آباد",33.7262071,73.0579305,"{""addr:city"": ""اسلام آباد"", ""addr:city:ar"": ""إسلام آباد"", ""addr:city:en"": ""Islamabad"", ""addr:city:ks"": ""اِسلام آبادٖ"", ""addr:city:pnb"": ""اسلام آباد"", ""addr:city:ps"": ""اسلام آباد"", ""addr:city:sd"": ""اسلام آباد"", ""addr:city:ur"": ""اسلام آباد"", ""addr:street"": ""Street 3"", ""amenity"": ""cafe"", ""name"": ""Howdy""}"
821664342,node,amenity,cafe,Mocca,,33.7356049,73.0779705,"{""amenity"": ""cafe"", ""is_in"": ""Kohsar Market, F-6/3, Islamabad"", ""name"": ""Mocca""}"
